experiment,subject,uniqueID,block,trial,trial_cumulative,age,gender,color_cond_blocking,color_history,shape_type,set_size,distractor,rt,acc,target_orient,response_key,response_made,iti,target_color,target_item,distractor_item,target_X,target_Y,distractor_X,distractor_Y,item1_X,item1_Y,item2_X,item2_Y,item3_X,item3_Y,item4_X,item4_Y,item5_X,item5_Y,item6_X,item6_Y,item1_shape,item2_shape,item3_shape,item4_shape,item5_shape,item6_shape,item1_line,item2_line,item3_line,item4_line,item5_line,item6_line
1c,11,100147,1,1,1,20,F,NA,variable,homogeneous,4,absent,0.96057391166687,1,horizontal,horizontal,1,0.670586156845093,green,3,NaN,680.284751489598,374.848363820974,NaN,NaN,919.715248510402,825.151636179026,1025.15163617903,480.284751489598,680.284751489598,374.848363820974,574.848363820974,719.715248510402,0,0,0,0,0,0,4,0,NaN,NaN,vertical,horizontal,horizontal,vertical,none,none
1c,11,100147,1,2,2,20,F,NA,variable,homogeneous,3,present,1.19608497619629,1,horizontal,horizontal,1,1.02351694107056,green,2,1,1041.10723677783,683.019879386575,607.549057043193,767.295052392579,607.549057043193,767.295052392579,1041.10723677783,683.019879386575,751.343706178981,349.685068220846,0,0,0,0,0,0,0,4,0,NaN,NaN,NaN,vertical,horizontal,vertical,none,none,none
1c,11,100147,1,3,3,20,F,NA,variable,homogeneous,3,present,1.0207040309906,1,vertical,vertical,1,1.02351694107056,green,1,3,646.537169096228,803.65205506206,700.363562235235,365.271262369628,646.537169096228,803.65205506206,1053.09926866854,631.076682568313,700.363562235235,365.271262369628,0,0,0,0,0,0,4,0,0,NaN,NaN,NaN,vertical,horizontal,horizontal,none,none,none
1c,11,100147,1,4,4,20,F,NA,variable,homogeneous,4,present,0.706604957580566,1,vertical,vertical,1,0.682350516319275,green,4,1,593.700666434388,749.885239334581,949.885239334581,806.299333565612,949.885239334581,806.299333565612,1006.29933356561,450.114760665419,650.114760665419,393.700666434388,593.700666434388,749.885239334581,0,0,0,0,0,0,0,4,NaN,NaN,horizontal,horizontal,vertical,vertical,none,none
1c,11,100147,1,5,5,20,F,NA,variable,homogeneous,6,absent,0.874365091323853,1,vertical,vertical,1,0.858815908432007,green,2,NaN,963.910840470068,795.341332995339,NaN,NaN,712.784863451954,839.621618300407,963.910840470068,795.341332995339,1051.12597701811,555.719714694933,887.215136548046,360.378381699593,636.089159529932,404.658667004661,548.874022981887,644.280285305067,0,4,0,0,0,0,horizontal,vertical,horizontal,horizontal,horizontal,vertical
1c,11,100147,1,6,6,20,F,NA,variable,homogeneous,4,present,1.08051800727844,1,horizontal,horizontal,1,1.02351694107056,red,2,1,1003.65205506206,753.462830903772,646.537169096228,803.65205506206,646.537169096228,803.65205506206,1003.65205506206,753.462830903772,953.462830903772,396.34794493794,596.34794493794,446.537169096228,0,0,0,0,0,4,0,0,NaN,NaN,horizontal,horizontal,vertical,horizontal,none,none
1c,11,100147,1,7,7,20,F,NA,variable,homogeneous,4,absent,1.16095113754272,1,horizontal,horizontal,1,0.741172313690186,red,4,NaN,616.568350913644,777.137884467044,NaN,NaN,977.137884467044,783.431649086356,983.431649086356,422.862115532956,622.862115532956,416.568350913644,616.568350913644,777.137884467044,0,0,0,0,0,0,0,4,NaN,NaN,horizontal,vertical,vertical,horizontal,none,none
1c,11,100147,1,8,8,20,F,NA,variable,homogeneous,5,present,0.817045927047729,1,vertical,vertical,1,1.03528130054474,green,4,2,746.982518841471,350.57236181288,989.501930496736,770.628304621509,696.282156015671,832.954091698863,989.501930496736,770.628304621509,1020.83647796503,472.5,746.982518841471,350.57236181288,546.39691668109,573.345241866748,0,0,0,0,0,4,0,NaN,horizontal,vertical,vertical,vertical,horizontal,none
1c,11,100147,1,9,9,20,F,NA,variable,homogeneous,6,present,0.727628946304321,1,horizontal,horizontal,1,0.705879235267639,green,4,2,742.637481142314,351.535633479765,1043.85771277057,674.554784704298,857.362518857686,848.464366520235,1043.85771277057,674.554784704298,986.495193912888,426.090418184063,742.637481142314,351.535633479765,556.142287229426,525.445215295702,613.504806087112,773.909581815937,0,0,0,4,0,0,horizontal,vertical,vertical,horizontal,horizontal,vertical
1c,11,100147,1,10,10,20,F,NA,variable,homogeneous,6,present,0.975838899612427,1,vertical,vertical,1,1.07057437896729,red,1,6,751.343706178981,850.314931779154,558.892763222174,683.019879386575,751.343706178981,850.314931779154,992.450942956807,767.295052392579,1041.10723677783,516.980120613425,848.656293821019,349.685068220846,607.549057043193,432.704947607421,558.892763222174,683.019879386575,4,0,0,0,0,0,vertical,horizontal,vertical,horizontal,vertical,vertical
