experiment,subject,uniqueID,block,trial,trial_cumulative,age,gender,color_cond_blocking,color_history,shape_type,set_size,distractor,rt,acc,target_orient,response_key,response_made,iti,target_color,target_item,distractor_item,target_X,target_Y,distractor_X,distractor_Y,item1_X,item1_Y,item2_X,item2_Y,item3_X,item3_Y,item4_X,item4_Y,item5_X,item5_Y,item6_X,item6_Y,item1_shape,item2_shape,item3_shape,item4_shape,item5_shape,item6_shape,item1_line,item2_line,item3_line,item4_line,item5_line,item6_line
1c,1,100139,1,1,1,19,F,NA,variable,homogeneous,3,absent,1.22350406646729,1,horizontal,horizontal,1,0.917644143104553,green,3,NaN,557.480588344736,521.200666434388,NaN,NaN,853.017481158529,849.42763818712,989.501930496736,429.371695378491,557.480588344736,521.200666434388,0,0,0,0,0,0,0,0,4,NaN,NaN,NaN,horizontal,horizontal,horizontal,none,none,none
1c,1,100139,1,2,2,19,F,NA,variable,homogeneous,5,present,NaN,0,horizontal,none,0,1.08234851360321,green,1,4,915.767577433584,827.206663668034,572.793336331966,484.232422566416,915.767577433584,827.206663668034,1051.86052685176,560.109211414741,839.890788585259,348.13947314824,572.793336331966,484.232422566416,619.68777079743,780.31222920257,0,0,4,0,0,0,0,NaN,horizontal,horizontal,horizontal,horizontal,vertical,none
1c,1,100139,1,3,3,19,F,NA,variable,homogeneous,5,present,NaN,0,vertical,none,0,0.729410576820374,red,5,4,579.163522034968,727.5,610.498069503264,429.371695378491,853.017481158529,849.42763818712,1053.60308331891,626.654758133252,903.717843984329,367.045908301137,610.498069503264,429.371695378491,579.163522034968,727.5,0,0,0,0,0,0,4,NaN,horizontal,vertical,vertical,vertical,vertical,none
1c,1,100139,1,4,4,19,F,NA,variable,homogeneous,3,absent,NaN,0,horizontal,none,0,1.01176092624664,green,1,NaN,1003.65205506206,753.462830903772,NaN,NaN,1003.65205506206,753.462830903772,831.076682568313,346.900731331463,565.271262369628,699.636437764765,0,0,0,0,0,0,4,0,0,NaN,NaN,NaN,horizontal,vertical,vertical,none,none,none
1c,1,100139,1,5,5,19,F,NA,variable,homogeneous,3,present,0.843133926391602,1,vertical,vertical,1,0.894114947319031,green,3,1,547.481642470899,635.489140744817,956.993676208043,800.942742169714,956.993676208043,800.942742169714,895.524681321058,363.568117085469,547.481642470899,635.489140744817,0,0,0,0,0,0,0,0,4,NaN,NaN,NaN,vertical,horizontal,vertical,none,none,none
1c,1,100139,1,6,6,19,F,NA,variable,homogeneous,6,present,0.912777900695801,1,horizontal,horizontal,1,1.03529012203217,red,2,1,1049.42763818712,653.017481158529,878.799333565612,842.519411655264,878.799333565612,842.519411655264,1049.42763818712,653.017481158529,970.628304621509,410.498069503264,721.200666434388,357.480588344736,550.57236181288,546.982518841471,629.371695378491,789.501930496736,0,4,0,0,0,0,horizontal,horizontal,vertical,horizontal,horizontal,vertical
1c,1,100139,1,7,7,19,F,NA,variable,homogeneous,3,absent,0.969194889068604,1,horizontal,horizontal,1,0.705881381034851,red,1,NaN,808.899371659138,854.844660889869,NaN,NaN,808.899371659138,854.844660889869,1016.25226451989,464.870587620533,574.848363820974,480.284751489598,0,0,0,0,0,0,4,0,0,NaN,NaN,NaN,horizontal,vertical,horizontal,none,none,none
1c,1,100139,1,8,8,19,F,NA,variable,homogeneous,3,present,0.846374988555908,1,vertical,vertical,1,1.08234851360321,red,2,1,1054.0296480134,622.224714400653,653.738008730483,808.883771293693,653.738008730483,808.883771293693,1054.0296480134,622.224714400653,692.232343256122,368.891514305654,0,0,0,0,0,0,0,4,0,NaN,NaN,NaN,vertical,vertical,vertical,none,none,none
1c,1,100139,1,9,9,19,F,NA,variable,homogeneous,5,present,1.10737895965576,1,horizontal,horizontal,1,0.976467132568359,red,2,3,953.462830903772,803.65205506206,1041.10723677783,516.980120613425,653.738008730483,808.883771293693,953.462830903772,803.65205506206,1041.10723677783,516.980120613425,795.549636358493,345.03883773512,556.142287229426,525.445215295702,0,0,0,4,0,0,0,NaN,vertical,horizontal,horizontal,vertical,vertical,none
1c,1,100139,1,10,10,19,F,NA,variable,homogeneous,5,absent,0.835178852081299,0,horizontal,vertical,1,0.88235034942627,red,4,NaN,622.862115532956,416.568350913644,NaN,NaN,835.489140744817,852.518357529101,1051.12597701811,644.280285305067,919.715248510402,374.848363820974,622.862115532956,416.568350913644,570.807518193712,711.784642431215,0,0,0,0,0,4,0,NaN,horizontal,horizontal,horizontal,horizontal,horizontal,none
