experiment,subject,uniqueID,block,trial,trial_cumulative,age,gender,color_cond_blocking,color_history,shape_type,set_size,distractor,rt,acc,target_orient,response_key,response_made,iti,target_color,target_item,distractor_item,target_X,target_Y,distractor_X,distractor_Y,item1_X,item1_Y,item2_X,item2_Y,item3_X,item3_Y,item4_X,item4_Y,item5_X,item5_Y,item6_X,item6_Y,item1_shape,item2_shape,item3_shape,item4_shape,item5_shape,item6_shape,item1_line,item2_line,item3_line,item4_line,item5_line,item6_line
1c,21,100160,1,1,1,20,F,NA,variable,homogeneous,4,present,1.03812003135681,1,horizontal,horizontal,1,0.729409265518189,green,3,1,800,345,800,855,800,855,1055,600,800,345,545,600,0,0,0,0,0,0,4,0,NaN,NaN,horizontal,horizontal,horizontal,vertical,none,none
1c,21,100160,1,2,2,20,F,NA,variable,homogeneous,6,absent,1.03647804260254,1,horizontal,horizontal,1,1.08234362602234,red,1,NaN,831.076682568313,853.099268668537,NaN,NaN,831.076682568313,853.099268668537,1034.72873763037,699.636437764765,1003.65205506206,446.537169096228,768.923317431687,346.900731331463,565.271262369628,500.363562235235,596.34794493794,753.462830903772,4,0,0,0,0,0,horizontal,horizontal,vertical,horizontal,horizontal,horizontal
1c,21,100160,1,3,3,20,F,NA,variable,homogeneous,5,absent,0.690978050231934,1,vertical,vertical,1,1.0588146686554,red,5,NaN,586.139005173917,738.882953928832,NaN,NaN,865.998856501143,846.311085703712,1054.65053136242,613.345668841951,891.383827134052,361.936991243214,601.827779828472,439.523300282291,586.139005173917,738.882953928832,0,0,0,0,0,0,4,NaN,vertical,horizontal,horizontal,horizontal,vertical,none
1c,21,100160,1,4,4,20,F,NA,variable,homogeneous,3,present,0.739595890045166,1,vertical,vertical,1,0.95293436050415,green,1,3,853.017481158529,849.42763818712,557.480588344736,521.200666434388,853.017481158529,849.42763818712,989.501930496736,429.371695378491,557.480588344736,521.200666434388,0,0,0,0,0,0,4,0,0,NaN,NaN,NaN,vertical,horizontal,horizontal,none,none,none
1c,21,100160,1,5,5,20,F,NA,variable,homogeneous,5,present,1.06993317604065,1,horizontal,horizontal,1,0.976463317871094,green,2,3,1046.31108570371,534.001143498857,813.345668841951,345.349468637584,938.882953928832,813.860994826083,1046.31108570371,534.001143498857,813.345668841951,345.349468637584,561.936991243214,508.616172865948,639.523300282292,798.172220171528,0,0,0,4,0,0,0,NaN,horizontal,horizontal,vertical,horizontal,vertical,none
1c,21,100160,1,6,6,20,F,NA,variable,homogeneous,5,absent,0.68781590461731,1,vertical,vertical,1,1.01175675392151,green,4,NaN,653.738008730483,391.116228706307,NaN,NaN,795.549636358493,854.96116226488,1041.10723677783,683.019879386575,953.462830903772,396.34794493794,653.738008730483,391.116228706307,556.142287229426,674.554784704298,0,0,0,0,0,4,0,NaN,vertical,vertical,horizontal,vertical,horizontal,none
1c,21,100160,1,7,7,20,F,NA,variable,homogeneous,4,absent,0.913202047348022,1,horizontal,horizontal,1,0.776467180252075,red,4,NaN,554.878267535729,529.712474266665,NaN,NaN,729.712474266665,845.121732464271,1045.12173246427,670.287525733335,870.287525733335,354.878267535729,554.878267535729,529.712474266665,0,0,0,0,0,0,0,4,NaN,NaN,horizontal,horizontal,vertical,horizontal,none,none
1c,21,100160,1,8,8,20,F,NA,variable,homogeneous,3,absent,0.948338985443115,1,vertical,vertical,1,0.823525094985962,red,1,NaN,942.594190385041,811.404581001536,NaN,NaN,942.594190385041,811.404581001536,911.784642431215,370.807518193712,545.621167183745,617.787900804752,0,0,0,0,0,0,4,0,0,NaN,NaN,NaN,vertical,vertical,vertical,none,none,none
1c,21,100160,1,9,9,20,F,NA,variable,homogeneous,3,present,0.64329195022583,0,vertical,horizontal,1,0.999992275238037,red,2,3,1054.84466088987,608.899371659138,680.284751489598,374.848363820974,664.870587620533,816.252264519889,1054.84466088987,608.899371659138,680.284751489598,374.848363820974,0,0,0,0,0,0,0,4,0,NaN,NaN,NaN,vertical,vertical,horizontal,none,none,none
1c,21,100160,1,10,10,20,F,NA,variable,homogeneous,6,absent,0.713910818099976,1,vertical,vertical,1,0.88234748840332,green,4,NaN,826.654758133252,346.39691668109,NaN,NaN,773.345241866748,853.60308331891,1006.29933356561,749.885239334581,1032.95409169886,496.282156015671,826.654758133252,346.39691668109,593.700666434388,450.114760665419,567.045908301137,703.717843984329,0,0,0,4,0,0,vertical,horizontal,vertical,vertical,vertical,horizontal
