experiment,subject,uniqueID,block,trial,trial_cumulative,age,gender,color_cond_blocking,color_history,shape_type,set_size,distractor,rt,acc,target_orient,response_key,response_made,iti,target_color,target_item,distractor_item,target_X,target_Y,distractor_X,distractor_Y,item1_X,item1_Y,item2_X,item2_Y,item3_X,item3_Y,item4_X,item4_Y,item5_X,item5_Y,item6_X,item6_Y,item1_shape,item2_shape,item3_shape,item4_shape,item5_shape,item6_shape,item1_line,item2_line,item3_line,item4_line,item5_line,item6_line
1c,2,100129,1,1,1,18,M,NA,variable,homogeneous,6,absent,0.644818067550659,1,horizontal,horizontal,1,1.05881708621979,green,5,NaN,622.862115532956,416.568350913644,NaN,NaN,729.712474266665,845.121732464271,977.137884467044,783.431649086356,1047.42541020038,538.309916622085,870.287525733335,354.878267535729,622.862115532956,416.568350913644,552.574589799621,661.690083377915,0,0,0,0,4,0,horizontal,vertical,vertical,vertical,horizontal,horizontal
1c,2,100129,1,2,2,18,M,NA,variable,homogeneous,4,present,0.717997074127197,1,horizontal,horizontal,1,0.611764540672302,red,4,2,572.793336331966,715.767577433584,1027.20666366803,484.232422566416,915.767577433584,827.206663668034,1027.20666366803,484.232422566416,684.232422566416,372.793336331966,572.793336331966,715.767577433584,0,0,0,0,0,0,0,4,NaN,NaN,vertical,horizontal,horizontal,horizontal,none,none
1c,2,100129,1,3,3,18,M,NA,variable,homogeneous,6,present,0.514150142669678,1,horizontal,horizontal,1,0.882348976135254,green,6,2,639.523300282292,798.172220171528,1051.86052685176,639.890788585259,891.383827134052,838.063008756786,1051.86052685176,639.890788585259,960.476699717708,401.827779828472,708.616172865948,361.936991243214,548.13947314824,560.109211414741,639.523300282292,798.172220171528,0,0,0,0,0,4,horizontal,vertical,vertical,horizontal,vertical,horizontal
1c,2,100129,1,4,4,18,M,NA,variable,homogeneous,4,absent,0.425620079040527,1,vertical,vertical,1,1.03528800487518,green,4,NaN,554.878267535729,529.712474266665,NaN,NaN,729.712474266665,845.121732464271,1045.12173246427,670.287525733335,870.287525733335,354.878267535729,554.878267535729,529.712474266665,0,0,0,0,0,0,0,4,NaN,NaN,vertical,horizontal,vertical,vertical,none,none
1c,2,100129,1,5,5,18,M,NA,variable,homogeneous,3,present,0.511778116226196,0,horizontal,vertical,1,0.894113516807556,green,3,2,704.475318678942,363.568117085469,1052.5183575291,635.489140744817,643.006323791957,800.942742169714,1052.5183575291,635.489140744817,704.475318678942,363.568117085469,0,0,0,0,0,0,0,0,4,NaN,NaN,NaN,vertical,vertical,horizontal,none,none,none
1c,2,100129,1,6,6,18,M,NA,variable,homogeneous,4,absent,0.581577777862549,1,horizontal,horizontal,1,0.96470076084137,red,3,NaN,672.5,379.163522034968,NaN,NaN,927.5,820.836477965032,1020.83647796503,472.5,672.5,379.163522034968,579.163522034968,727.5,0,0,0,0,0,0,4,0,NaN,NaN,horizontal,horizontal,horizontal,horizontal,none,none
1c,2,100129,1,7,7,18,M,NA,variable,homogeneous,6,present,0.583867073059082,1,vertical,vertical,1,0.729409947395325,red,6,1,545.970351986605,622.224714400653,692.232343256122,831.108485694346,692.232343256122,831.108485694346,946.261991269517,808.883771293693,1054.0296480134,577.775285599347,907.767656743878,368.891514305654,653.738008730483,391.116228706307,545.970351986605,622.224714400653,0,0,0,0,0,4,vertical,vertical,horizontal,vertical,horizontal,vertical
1c,2,100129,1,8,8,18,M,NA,variable,homogeneous,5,present,0.573169946670532,1,vertical,vertical,1,0.870584435462952,red,3,1,1032.95409169886,496.282156015671,672.5,820.836477965032,672.5,820.836477965032,970.628304621509,789.501930496736,1032.95409169886,496.282156015671,773.345241866748,346.39691668109,550.57236181288,546.982518841471,0,0,0,0,4,0,0,NaN,horizontal,vertical,vertical,horizontal,vertical,none
1c,2,100129,1,9,9,18,M,NA,variable,homogeneous,6,absent,0.437558889389038,1,vertical,vertical,1,0.847055354118347,red,3,NaN,983.431649086356,422.862115532956,NaN,NaN,861.690083377915,847.425410200379,1045.12173246427,670.287525733335,983.431649086356,422.862115532956,738.309916622085,352.574589799621,554.878267535729,529.712474266665,616.568350913644,777.137884467044,0,0,4,0,0,0,vertical,horizontal,vertical,horizontal,vertical,vertical
1c,2,100129,1,10,10,18,M,NA,variable,homogeneous,4,present,0.585937976837158,1,horizontal,horizontal,1,0.96470076084137,green,1,2,899.636437764765,834.728737630372,1034.72873763037,500.363562235235,899.636437764765,834.728737630372,1034.72873763037,500.363562235235,700.363562235235,365.271262369628,565.271262369628,699.636437764765,0,0,0,0,4,0,0,0,NaN,NaN,horizontal,vertical,vertical,vertical,none,none
