experiment,subject,uniqueID,block,trial,trial_cumulative,age,gender,color_cond_blocking,color_history,shape_type,set_size,distractor,rt,acc,target_orient,response_key,response_made,iti,target_color,target_item,distractor_item,target_X,target_Y,distractor_X,distractor_Y,item1_X,item1_Y,item2_X,item2_Y,item3_X,item3_Y,item4_X,item4_Y,item5_X,item5_Y,item6_X,item6_Y,item1_shape,item2_shape,item3_shape,item4_shape,item5_shape,item6_shape,item1_line,item2_line,item3_line,item4_line,item5_line,item6_line
1c,4,100125,1,1,1,21,F,NA,variable,homogeneous,3,present,1.52773189544678,1,horizontal,horizontal,1,0.62352879524231,red,3,1,558.892763222174,516.980120613425,848.656293821019,850.314931779154,848.656293821019,850.314931779154,992.450942956807,432.704947607421,558.892763222174,516.980120613425,0,0,0,0,0,0,0,0,4,NaN,NaN,NaN,horizontal,horizontal,horizontal,none,none,none
1c,4,100125,1,2,2,21,F,NA,variable,homogeneous,5,present,1.39742803573608,1,vertical,vertical,1,0.764701566696167,green,4,1,619.68777079743,419.68777079743,839.890788585259,851.86052685176,839.890788585259,851.86052685176,1051.86052685176,639.890788585259,915.767577433584,372.793336331966,619.68777079743,419.68777079743,572.793336331966,715.767577433584,0,0,0,0,0,4,0,NaN,horizontal,horizontal,vertical,vertical,horizontal,none
1c,4,100125,1,3,3,21,F,NA,variable,homogeneous,4,absent,0.764518022537231,1,vertical,vertical,1,0.752937169075012,red,3,NaN,822.224714400653,345.970351986605,NaN,NaN,777.775285599347,854.029648013395,1054.0296480134,622.224714400653,822.224714400653,345.970351986605,545.970351986605,577.775285599347,0,0,0,0,0,0,4,0,NaN,NaN,horizontal,vertical,vertical,vertical,none,none
1c,4,100125,1,4,4,21,F,NA,variable,homogeneous,6,present,0.653038024902344,1,vertical,vertical,1,1.04704710960388,red,6,1,545.349468637584,613.345668841951,684.232422566416,827.206663668034,684.232422566416,827.206663668034,938.882953928832,813.860994826083,1054.65053136242,586.654331158049,915.767577433584,372.793336331966,661.117046071168,386.139005173917,545.349468637584,613.345668841951,0,0,0,0,0,4,vertical,vertical,vertical,vertical,vertical,vertical
1c,4,100125,1,5,5,21,F,NA,variable,homogeneous,3,absent,0.72779107093811,1,vertical,vertical,1,0.882345542907715,red,2,NaN,1031.10848569435,492.232343256122,NaN,NaN,777.775285599347,854.029648013395,1031.10848569435,492.232343256122,591.116228706307,453.738008730483,0,0,0,0,0,0,0,4,0,NaN,NaN,NaN,horizontal,vertical,horizontal,none,none,none
1c,4,100125,1,6,6,21,F,NA,variable,homogeneous,4,present,0.892745971679688,1,horizontal,horizontal,1,0.705879578590393,green,2,4,995.341332995339,763.910840470068,604.658667004661,436.089159529932,636.089159529932,795.341332995339,995.341332995339,763.910840470068,963.910840470068,404.658667004661,604.658667004661,436.089159529932,0,0,0,0,0,4,0,0,NaN,NaN,vertical,horizontal,horizontal,horizontal,none,none
1c,4,100125,1,7,7,21,F,NA,variable,homogeneous,3,absent,0.795635938644409,1,horizontal,horizontal,1,0.647057590484619,green,2,NaN,1038.06300875679,508.616172865948,NaN,NaN,760.109211414741,851.86052685176,1038.06300875679,508.616172865948,601.827779828472,439.523300282291,0,0,0,0,0,0,0,4,0,NaN,NaN,NaN,vertical,horizontal,vertical,none,none,none
1c,4,100125,1,8,8,21,F,NA,variable,homogeneous,4,present,0.764002799987793,1,horizontal,horizontal,1,0.62352879524231,green,1,3,848.656293821019,850.314931779154,751.343706178981,349.685068220846,848.656293821019,850.314931779154,1050.31493177915,551.343706178981,751.343706178981,349.685068220846,549.685068220846,648.656293821019,0,0,0,0,4,0,0,0,NaN,NaN,horizontal,vertical,vertical,horizontal,none,none
1c,4,100125,1,9,9,21,F,NA,variable,homogeneous,4,absent,0.9515221118927,1,horizontal,horizontal,1,0.988225121498108,red,3,NaN,700.363562235235,365.271262369628,NaN,NaN,899.636437764765,834.728737630372,1034.72873763037,500.363562235235,700.363562235235,365.271262369628,565.271262369628,699.636437764765,0,0,0,0,0,0,4,0,NaN,NaN,vertical,horizontal,horizontal,vertical,none,none
1c,4,100125,1,10,10,21,F,NA,variable,homogeneous,4,absent,0.92713189125061,1,vertical,vertical,1,0.611764397621155,green,4,NaN,558.892763222174,683.019879386575,NaN,NaN,883.019879386575,841.107236777826,1041.10723677783,516.980120613425,716.980120613425,358.892763222174,558.892763222174,683.019879386575,0,0,0,0,0,0,0,4,NaN,NaN,horizontal,horizontal,horizontal,vertical,none,none
1c,4,100125,1,11,11,21,F,NA,variable,homogeneous,6,absent,0.949671030044556,1,horizontal,horizontal,1,0.999989519119263,red,6,NaN,579.163522034968,727.5,NaN,NaN,800,855,1020.83647796503,727.5,1020.83647796503,472.5,800,345,579.163522034968,472.5,579.163522034968,727.5,0,0,0,0,0,4,vertical,horizontal,vertical,horizontal,vertical,horizontal
1c,4,100125,1,12,12,21,F,NA,variable,homogeneous,4,present,0.882033109664917,1,vertical,vertical,1,0.858816747665405,green,4,1,588.595418998464,457.40580961496,657.405809614959,811.404581001536,657.405809614959,811.404581001536,1011.40458100154,742.594190385041,942.594190385041,388.595418998464,588.595418998464,457.40580961496,0,0,0,0,0,0,0,4,NaN,NaN,horizontal,vertical,horizontal,vertical,none,none
1c,4,100125,1,13,13,21,F,NA,variable,homogeneous,4,absent,1.47770309448242,1,horizontal,horizontal,1,0.89410994052887,green,2,NaN,989.501930496736,770.628304621509,NaN,NaN,629.371695378491,789.501930496736,989.501930496736,770.628304621509,970.628304621509,410.498069503264,610.498069503264,429.371695378491,0,0,0,0,0,4,0,0,NaN,NaN,horizontal,horizontal,horizontal,vertical,none,none
1c,4,100125,1,14,14,21,F,NA,variable,homogeneous,3,present,0.802390098571777,1,vertical,vertical,1,0.952931928634644,red,2,3,1043.85771277057,674.554784704298,742.637481142314,351.535633479765,613.504806087112,773.909581815937,1043.85771277057,674.554784704298,742.637481142314,351.535633479765,0,0,0,0,0,0,0,4,0,NaN,NaN,NaN,horizontal,vertical,horizontal,none,none,none
1c,4,100125,1,15,15,21,F,NA,variable,homogeneous,4,absent,1.2899751663208,1,vertical,vertical,1,0.764701566696167,red,2,NaN,1027.20666366803,715.767577433584,NaN,NaN,684.232422566416,827.206663668034,1027.20666366803,715.767577433584,915.767577433584,372.793336331966,572.793336331966,484.232422566416,0,0,0,0,0,4,0,0,NaN,NaN,vertical,vertical,horizontal,vertical,none,none
1c,4,100125,1,16,16,21,F,NA,variable,homogeneous,6,present,0.86792516708374,1,vertical,vertical,1,0.999989519119263,red,2,3,946.261991269517,808.883771293693,1054.0296480134,577.775285599347,692.232343256122,831.108485694346,946.261991269517,808.883771293693,1054.0296480134,577.775285599347,907.767656743878,368.891514305654,653.738008730483,391.116228706307,545.970351986605,622.224714400653,0,4,0,0,0,0,vertical,vertical,vertical,horizontal,horizontal,horizontal
1c,4,100125,1,17,17,21,F,NA,variable,homogeneous,5,present,0.762995004653931,1,horizontal,horizontal,1,0.882345542907715,green,5,1,545.970351986605,577.775285599347,700.363562235235,834.728737630372,700.363562235235,834.728737630372,992.450942956807,767.295052392579,1018.57766167904,468.665290897936,742.637481142314,351.535633479765,545.970351986605,577.775285599347,0,0,0,0,0,0,4,NaN,horizontal,vertical,horizontal,horizontal,horizontal,none
1c,4,100125,1,18,18,21,F,NA,variable,homogeneous,6,absent,1.21423196792603,1,vertical,vertical,1,0.799994759559631,red,3,NaN,980.31222920257,419.68777079743,NaN,NaN,865.998856501143,846.311085703712,1046.31108570371,665.998856501143,980.31222920257,419.68777079743,734.001143498857,353.688914296288,553.688914296288,534.001143498857,619.68777079743,780.31222920257,0,0,4,0,0,0,horizontal,horizontal,vertical,vertical,horizontal,horizontal
1c,4,100125,1,19,19,21,F,NA,variable,homogeneous,3,present,0.98530912399292,1,horizontal,horizontal,1,0.717643976211548,red,3,1,746.982518841471,350.57236181288,610.498069503264,770.628304621509,610.498069503264,770.628304621509,1042.51941165526,678.799333565612,746.982518841471,350.57236181288,0,0,0,0,0,0,0,0,4,NaN,NaN,NaN,vertical,horizontal,horizontal,none,none,none
1c,4,100125,1,20,20,21,F,NA,variable,homogeneous,4,present,1.42973613739014,1,horizontal,horizontal,1,0.647057590484619,red,2,1,1029.19248180629,488.215357568785,911.784642431215,829.192481806288,911.784642431215,829.192481806288,1029.19248180629,488.215357568785,688.215357568785,370.807518193712,570.807518193712,711.784642431215,0,0,0,0,0,4,0,0,NaN,NaN,vertical,horizontal,vertical,vertical,none,none
1c,4,100125,1,21,21,21,F,NA,variable,homogeneous,6,present,1.07648706436157,1,vertical,vertical,1,1.0941047000885,green,4,5,808.899371659138,345.155339110131,583.747735480111,464.870587620533,791.100628340862,854.844660889869,1016.25226451989,735.129412379467,1025.15163617903,480.284751489598,808.899371659138,345.155339110131,583.747735480111,464.870587620533,574.848363820974,719.715248510402,0,0,0,4,0,0,horizontal,vertical,horizontal,vertical,horizontal,vertical
1c,4,100125,1,22,22,21,F,NA,variable,homogeneous,6,absent,0.964600801467896,1,vertical,vertical,1,0.917638735771179,red,6,NaN,546.39691668109,626.654758133252,NaN,NaN,696.282156015671,832.954091698863,949.885239334581,806.299333565612,1053.60308331891,573.345241866748,903.717843984329,367.045908301137,650.114760665419,393.700666434388,546.39691668109,626.654758133252,0,0,0,0,0,4,horizontal,vertical,vertical,vertical,horizontal,vertical
1c,4,100125,1,23,23,21,F,NA,variable,homogeneous,4,absent,0.7811279296875,1,horizontal,horizontal,1,0.647057590484619,red,4,NaN,579.163522034968,727.5,NaN,NaN,927.5,820.836477965032,1020.83647796503,472.5,672.5,379.163522034968,579.163522034968,727.5,0,0,0,0,0,0,0,4,NaN,NaN,horizontal,horizontal,vertical,horizontal,none,none
1c,4,100125,1,24,24,21,F,NA,variable,homogeneous,3,absent,0.776083946228027,1,vertical,vertical,1,0.752937169075012,green,1,NaN,822.224714400653,854.029648013395,NaN,NaN,822.224714400653,854.029648013395,1008.88377129369,453.738008730483,568.891514305654,492.232343256122,0,0,0,0,0,0,4,0,0,NaN,NaN,NaN,vertical,horizontal,vertical,none,none,none
1c,4,100125,1,25,25,21,F,NA,variable,homogeneous,4,absent,0.688768863677979,1,vertical,vertical,1,0.658821988105774,green,3,NaN,938.882953928832,386.139005173917,NaN,NaN,661.117046071168,813.860994826083,1013.86099482608,738.882953928832,938.882953928832,386.139005173917,586.139005173917,461.117046071168,0,0,0,0,0,0,4,0,NaN,NaN,vertical,horizontal,vertical,vertical,none,none
1c,4,100125,1,26,26,21,F,NA,variable,homogeneous,6,absent,0.661257028579712,1,horizontal,horizontal,1,0.917638735771179,green,1,NaN,813.345668841951,854.650531362416,NaN,NaN,813.345668841951,854.650531362416,1027.20666366803,715.767577433584,1013.86099482608,461.117046071168,786.654331158049,345.349468637584,572.793336331966,484.232422566416,586.139005173917,738.882953928832,4,0,0,0,0,0,horizontal,horizontal,horizontal,vertical,horizontal,vertical
1c,4,100125,1,27,27,21,F,NA,variable,homogeneous,5,present,0.694133043289185,1,horizontal,horizontal,1,0.976460723876953,red,4,3,800,345,1042.51941165526,521.200666434388,650.114760665419,806.299333565612,949.885239334581,806.299333565612,1042.51941165526,521.200666434388,800,345,557.480588344736,521.200666434388,0,0,0,0,0,4,0,NaN,horizontal,vertical,vertical,horizontal,horizontal,none
1c,4,100125,1,28,28,21,F,NA,variable,homogeneous,6,present,0.706505060195923,1,horizontal,horizontal,1,0.705879578590393,red,6,2,552.574589799621,661.690083377915,977.137884467044,783.431649086356,729.712474266665,845.121732464271,977.137884467044,783.431649086356,1047.42541020038,538.309916622085,870.287525733335,354.878267535729,622.862115532956,416.568350913644,552.574589799621,661.690083377915,0,0,0,0,0,4,vertical,horizontal,horizontal,horizontal,vertical,horizontal
1c,4,100125,1,29,29,21,F,NA,variable,homogeneous,3,present,1.14071607589722,1,vertical,vertical,1,0.799994759559631,red,2,1,1032.95409169886,496.282156015671,773.345241866748,853.60308331891,773.345241866748,853.60308331891,1032.95409169886,496.282156015671,593.700666434388,450.114760665419,0,0,0,0,0,0,0,4,0,NaN,NaN,NaN,vertical,vertical,horizontal,none,none,none
1c,4,100125,1,30,30,21,F,NA,variable,homogeneous,3,present,0.869699954986572,1,vertical,vertical,1,0.89410994052887,green,2,1,995.341332995339,436.089159529932,844.280285305067,851.125977018113,844.280285305067,851.125977018113,995.341332995339,436.089159529932,560.378381699593,512.784863451954,0,0,0,0,0,0,0,4,0,NaN,NaN,NaN,vertical,vertical,horizontal,none,none,none
1c,4,100125,1,31,31,21,F,NA,variable,homogeneous,5,absent,0.628926038742065,1,horizontal,horizontal,1,0.670586385726929,red,5,NaN,607.549057043193,767.295052392579,NaN,NaN,899.636437764765,834.728737630372,1054.0296480134,577.775285599347,857.362518857686,351.535633479765,581.422338320961,468.665290897936,607.549057043193,767.295052392579,0,0,0,0,0,0,4,NaN,vertical,horizontal,vertical,horizontal,horizontal,none
1c,4,100125,1,32,32,21,F,NA,variable,homogeneous,3,absent,0.614888906478882,1,horizontal,horizontal,1,1.05881150722504,red,1,NaN,839.890788585259,851.86052685176,NaN,NaN,839.890788585259,851.86052685176,998.172220171528,439.523300282291,561.936991243214,508.616172865948,0,0,0,0,0,0,4,0,0,NaN,NaN,NaN,horizontal,horizontal,vertical,none,none,none
1c,4,100125,1,33,33,21,F,NA,variable,homogeneous,3,absent,0.992767095565796,1,horizontal,horizontal,1,0.87058114528656,red,2,NaN,1045.12173246427,529.712474266665,NaN,NaN,738.309916622085,847.425410200379,1045.12173246427,529.712474266665,616.568350913644,422.862115532956,0,0,0,0,0,0,0,4,0,NaN,NaN,NaN,vertical,horizontal,horizontal,none,none,none
1c,4,100125,1,34,34,21,F,NA,variable,homogeneous,4,present,0.974390029907227,1,vertical,vertical,1,0.682350783348084,green,3,4,684.232422566416,372.793336331966,572.793336331966,715.767577433584,915.767577433584,827.206663668034,1027.20666366803,484.232422566416,684.232422566416,372.793336331966,572.793336331966,715.767577433584,0,0,0,0,0,0,4,0,NaN,NaN,horizontal,horizontal,vertical,vertical,none,none
1c,4,100125,1,35,35,21,F,NA,variable,homogeneous,3,present,0.604815006256104,1,vertical,vertical,1,0.929403133392334,green,1,3,684.232422566416,827.206663668034,661.117046071168,386.139005173917,684.232422566416,827.206663668034,1054.65053136242,586.654331158049,661.117046071168,386.139005173917,0,0,0,0,0,0,4,0,0,NaN,NaN,NaN,vertical,vertical,vertical,none,none,none
1c,4,100125,1,36,36,21,F,NA,variable,homogeneous,5,absent,0.553772926330566,1,vertical,vertical,1,0.847052350044251,red,3,NaN,907.767656743878,368.891514305654,NaN,NaN,848.656293821019,850.314931779154,1053.09926866854,631.076682568313,907.767656743878,368.891514305654,613.504806087112,426.090418184063,576.971974679454,723.626453162816,0,0,0,0,4,0,0,NaN,vertical,vertical,vertical,horizontal,horizontal,none
1c,4,100125,1,37,37,21,F,NA,variable,homogeneous,5,absent,1.20128083229065,1,horizontal,horizontal,1,0.611764397621155,green,3,NaN,1039.62161830041,512.784863451954,NaN,NaN,657.405809614959,811.404581001536,956.993676208043,800.942742169714,1039.62161830041,512.784863451954,791.100628340862,345.155339110131,554.878267535729,529.712474266665,0,0,0,0,4,0,0,NaN,horizontal,vertical,horizontal,horizontal,vertical,none
