experiment,subject,uniqueID,block,trial,trial_cumulative,age,gender,color_cond_blocking,color_history,shape_type,set_size,distractor,rt,acc,target_orient,response_key,response_made,iti,target_color,target_item,distractor_item,target_X,target_Y,distractor_X,distractor_Y,item1_X,item1_Y,item2_X,item2_Y,item3_X,item3_Y,item4_X,item4_Y,item5_X,item5_Y,item6_X,item6_Y,item1_shape,item2_shape,item3_shape,item4_shape,item5_shape,item6_shape,item1_line,item2_line,item3_line,item4_line,item5_line,item6_line
1c,13,100152,1,1,1,19,F,NA,variable,homogeneous,4,absent,1.14603877067566,1,horizontal,horizontal,1,0.788232040405273,green,1,NaN,927.5,820.836477965032,NaN,NaN,927.5,820.836477965032,1020.83647796503,472.5,672.5,379.163522034968,579.163522034968,727.5,0,0,0,0,4,0,0,0,NaN,NaN,horizontal,vertical,horizontal,horizontal,none,none
1c,13,100152,1,2,2,19,F,NA,variable,homogeneous,5,present,1.01152396202087,0,horizontal,vertical,1,0.941170573234558,red,5,3,553.688914296288,665.998856501143,960.476699717708,401.827779828472,786.654331158049,854.650531362416,1038.06300875679,691.383827134052,960.476699717708,401.827779828472,661.117046071168,386.139005173917,553.688914296288,665.998856501143,0,0,0,0,0,0,4,NaN,horizontal,vertical,vertical,horizontal,horizontal,none
1c,13,100152,1,3,3,19,F,NA,variable,homogeneous,6,present,1.85270881652832,1,vertical,vertical,1,1.04705109596252,green,5,2,643.006323791957,399.057257830286,956.993676208043,800.942742169714,704.475318678942,836.431882914531,956.993676208043,800.942742169714,1052.5183575291,564.510859255183,895.524681321058,363.568117085469,643.006323791957,399.057257830286,547.481642470899,635.489140744817,0,0,0,0,4,0,horizontal,horizontal,vertical,vertical,vertical,vertical
1c,13,100152,1,4,4,19,F,NA,variable,homogeneous,4,present,1.07066202163696,1,horizontal,horizontal,1,1.03528659343719,green,4,3,549.685068220846,551.343706178981,848.656293821019,349.685068220846,751.343706178981,850.314931779154,1050.31493177915,648.656293821019,848.656293821019,349.685068220846,549.685068220846,551.343706178981,0,0,0,0,0,0,0,4,NaN,NaN,horizontal,vertical,horizontal,horizontal,none,none
1c,13,100152,1,5,5,19,F,NA,variable,homogeneous,6,absent,0.911526203155518,1,horizontal,horizontal,1,0.764703035354614,red,4,NaN,680.284751489598,374.848363820974,NaN,NaN,919.715248510402,825.151636179026,1054.84466088987,608.899371659138,935.129412379467,383.747735480111,680.284751489598,374.848363820974,545.155339110131,591.100628340862,664.870587620533,816.252264519889,0,0,0,4,0,0,horizontal,horizontal,horizontal,horizontal,vertical,horizontal
1c,13,100152,1,6,6,19,F,NA,variable,homogeneous,6,absent,0.764970064163208,1,horizontal,horizontal,1,0.941170573234558,green,6,NaN,546.39691668109,626.654758133252,NaN,NaN,696.282156015671,832.954091698863,949.885239334581,806.299333565612,1053.60308331891,573.345241866748,903.717843984329,367.045908301137,650.114760665419,393.700666434388,546.39691668109,626.654758133252,0,0,0,0,0,4,vertical,horizontal,horizontal,horizontal,horizontal,horizontal
1c,13,100152,1,7,7,19,F,NA,variable,homogeneous,4,present,1.05087518692017,1,vertical,vertical,1,0.929406070709228,red,2,3,1025.15163617903,719.715248510402,919.715248510402,374.848363820974,680.284751489598,825.151636179026,1025.15163617903,719.715248510402,919.715248510402,374.848363820974,574.848363820974,480.284751489598,0,0,0,0,0,4,0,0,NaN,NaN,vertical,vertical,horizontal,horizontal,none,none
1c,13,100152,1,8,8,19,F,NA,variable,homogeneous,5,absent,0.949700117111206,1,vertical,vertical,1,0.682351517677307,red,4,NaN,576.971974679454,476.373546837184,NaN,NaN,907.767656743878,831.108485694346,1053.09926866854,568.923317431687,848.656293821019,349.685068220846,576.971974679454,476.373546837184,613.504806087112,773.909581815937,0,0,0,0,0,4,0,NaN,vertical,horizontal,vertical,vertical,horizontal,none
1c,13,100152,1,9,9,19,F,NA,variable,homogeneous,5,absent,0.746921062469482,1,vertical,vertical,1,0.905877065658569,green,5,NaN,599.057257830286,756.993676208043,NaN,NaN,887.215136548046,839.621618300407,1054.84466088987,591.100628340862,870.287525733335,354.878267535729,588.595418998464,457.40580961496,599.057257830286,756.993676208043,0,0,0,0,0,0,4,NaN,vertical,vertical,horizontal,horizontal,vertical,none
1c,13,100152,1,10,10,19,F,NA,variable,homogeneous,5,present,0.662817001342773,1,horizontal,horizontal,1,0.835290050506592,green,5,3,574.848363820974,719.715248510402,911.784642431215,370.807518193712,844.280285305067,851.125977018113,1052.5183575291,635.489140744817,911.784642431215,370.807518193712,616.568350913644,422.862115532956,574.848363820974,719.715248510402,0,0,0,0,0,0,4,NaN,horizontal,vertical,vertical,horizontal,horizontal,none
