experiment,subject,uniqueID,block,trial,trial_cumulative,age,gender,color_cond_blocking,color_history,shape_type,set_size,distractor,rt,acc,target_orient,response_key,response_made,iti,target_color,target_item,distractor_item,target_X,target_Y,distractor_X,distractor_Y,item1_X,item1_Y,item2_X,item2_Y,item3_X,item3_Y,item4_X,item4_Y,item5_X,item5_Y,item6_X,item6_Y,item1_shape,item2_shape,item3_shape,item4_shape,item5_shape,item6_shape,item1_line,item2_line,item3_line,item4_line,item5_line,item6_line
1c,12,100150,1,1,1,21,M,NA,variable,homogeneous,5,present,1.51921510696411,0,vertical,horizontal,1,0.717645597457886,red,3,4,800,345,557.480588344736,521.200666434388,949.885239334581,806.299333565612,1042.51941165526,521.200666434388,800,345,557.480588344736,521.200666434388,650.114760665419,806.299333565612,0,0,0,0,4,0,0,NaN,vertical,horizontal,vertical,horizontal,horizontal,none
1c,12,100150,1,2,2,21,M,NA,variable,homogeneous,3,absent,0.995324850082397,1,horizontal,horizontal,1,0.882349433898926,red,3,NaN,629.371695378491,410.498069503264,NaN,NaN,721.200666434388,842.519411655264,1049.42763818712,546.982518841471,629.371695378491,410.498069503264,0,0,0,0,0,0,0,0,4,NaN,NaN,NaN,horizontal,horizontal,horizontal,none,none,none
1c,12,100150,1,3,3,21,M,NA,variable,homogeneous,3,absent,0.945148944854736,1,vertical,vertical,1,1.08234694957733,red,3,NaN,619.68777079743,419.68777079743,NaN,NaN,734.001143498857,846.311085703712,1046.31108570371,534.001143498857,619.68777079743,419.68777079743,0,0,0,0,0,0,0,0,4,NaN,NaN,NaN,horizontal,vertical,vertical,none,none,none
1c,12,100150,1,4,4,21,M,NA,variable,homogeneous,5,present,1.20428490638733,1,vertical,vertical,1,0.611764559745789,green,5,3,545.349468637584,613.345668841951,998.172220171528,439.523300282291,734.001143498857,846.311085703712,1013.86099482608,738.882953928832,998.172220171528,439.523300282291,708.616172865948,361.936991243214,545.349468637584,613.345668841951,0,0,0,0,0,0,4,NaN,vertical,horizontal,horizontal,horizontal,vertical,none
1c,12,100150,1,5,5,21,M,NA,variable,homogeneous,6,present,1.74638390541077,1,vertical,vertical,1,0.694116477966309,red,4,6,721.200666434388,357.480588344736,629.371695378491,789.501930496736,878.799333565612,842.519411655264,1049.42763818712,653.017481158529,970.628304621509,410.498069503264,721.200666434388,357.480588344736,550.57236181288,546.982518841471,629.371695378491,789.501930496736,0,0,0,4,0,0,horizontal,vertical,vertical,vertical,horizontal,horizontal
1c,12,100150,1,6,6,21,M,NA,variable,homogeneous,5,absent,0.831422090530396,1,vertical,vertical,1,0.68235191822052,red,3,NaN,1027.20666366803,484.232422566416,NaN,NaN,684.232422566416,827.206663668034,980.31222920257,780.31222920257,1027.20666366803,484.232422566416,760.109211414741,348.13947314824,548.13947314824,560.109211414741,0,0,0,0,4,0,0,NaN,horizontal,horizontal,vertical,horizontal,vertical,none
1c,12,100150,1,7,7,21,M,NA,variable,homogeneous,6,present,1.23399996757507,1,horizontal,horizontal,1,0.905878553390503,red,3,5,946.261991269517,391.116228706307,545.970351986605,577.775285599347,907.767656743878,831.108485694346,1054.0296480134,622.224714400653,946.261991269517,391.116228706307,692.232343256122,368.891514305654,545.970351986605,577.775285599347,653.738008730483,808.883771293693,0,0,4,0,0,0,horizontal,vertical,horizontal,horizontal,vertical,horizontal
1c,12,100150,1,8,8,21,M,NA,variable,homogeneous,6,present,0.935340881347656,1,horizontal,horizontal,1,0.811762075424194,green,5,6,583.747735480111,464.870587620533,574.848363820974,719.715248510402,791.100628340862,854.844660889869,1016.25226451989,735.129412379467,1025.15163617903,480.284751489598,808.899371659138,345.155339110131,583.747735480111,464.870587620533,574.848363820974,719.715248510402,0,0,0,0,4,0,vertical,vertical,horizontal,horizontal,horizontal,horizontal
1c,12,100150,1,9,9,21,M,NA,variable,homogeneous,4,absent,1.78250288963318,1,horizontal,horizontal,1,0.611764559745789,green,2,NaN,989.501930496736,429.371695378491,NaN,NaN,970.628304621509,789.501930496736,989.501930496736,429.371695378491,629.371695378491,410.498069503264,610.498069503264,770.628304621509,0,0,0,0,0,4,0,0,NaN,NaN,vertical,horizontal,horizontal,vertical,none,none
1c,12,100150,1,10,10,21,M,NA,variable,homogeneous,6,present,1.48056602478027,1,horizontal,horizontal,1,0.705881037712097,red,6,4,552.574589799621,661.690083377915,870.287525733335,354.878267535729,729.712474266665,845.121732464271,977.137884467044,783.431649086356,1047.42541020038,538.309916622085,870.287525733335,354.878267535729,622.862115532956,416.568350913644,552.574589799621,661.690083377915,0,0,0,0,0,4,horizontal,horizontal,vertical,vertical,vertical,horizontal
1c,12,100150,1,11,11,21,M,NA,variable,homogeneous,5,absent,0.569601058959961,1,horizontal,horizontal,1,0.788232955932617,red,5,NaN,545.03883773512,595.549636358493,NaN,NaN,716.980120613425,841.107236777826,1003.65205506206,753.462830903772,1008.88377129369,453.738008730483,725.445215295702,356.142287229426,545.03883773512,595.549636358493,0,0,0,0,0,0,4,NaN,horizontal,vertical,vertical,vertical,horizontal,none
1c,12,100150,1,12,12,21,M,NA,variable,homogeneous,3,present,1.56603908538818,1,vertical,vertical,1,1.03528871059418,red,3,1,734.001143498857,353.688914296288,619.68777079743,780.31222920257,619.68777079743,780.31222920257,1046.31108570371,665.998856501143,734.001143498857,353.688914296288,0,0,0,0,0,0,0,0,4,NaN,NaN,NaN,vertical,horizontal,vertical,none,none,none
1c,12,100150,1,13,13,21,M,NA,variable,homogeneous,6,present,0.924339056015015,1,horizontal,horizontal,1,0.729410157203674,green,6,2,657.405809614959,811.404581001536,1054.37883281626,617.787900804752,911.784642431215,829.192481806288,1054.37883281626,617.787900804752,942.594190385041,388.595418998464,688.215357568785,370.807518193712,545.621167183745,582.212099195248,657.405809614959,811.404581001536,0,0,0,0,0,4,horizontal,vertical,horizontal,vertical,vertical,horizontal
1c,12,100150,1,14,14,21,M,NA,variable,homogeneous,5,present,0.782904863357544,1,vertical,vertical,1,0.988230471611023,green,3,2,983.431649086356,422.862115532956,1025.15163617903,719.715248510402,755.719714694933,851.125977018113,1025.15163617903,719.715248510402,983.431649086356,422.862115532956,688.215357568785,370.807518193712,547.481642470899,635.489140744817,0,0,0,0,4,0,0,NaN,vertical,vertical,vertical,horizontal,horizontal,none
1c,12,100150,1,15,15,21,M,NA,variable,homogeneous,6,absent,0.892065048217773,1,vertical,vertical,1,1.07058238983154,green,5,NaN,549.685068220846,551.343706178981,NaN,NaN,883.019879386575,841.107236777826,1050.31493177915,648.656293821019,967.295052392579,407.549057043193,716.980120613425,358.892763222174,549.685068220846,551.343706178981,632.704947607421,792.450942956807,0,0,0,0,4,0,vertical,horizontal,vertical,horizontal,vertical,vertical
1c,12,100150,1,16,16,21,M,NA,variable,homogeneous,6,absent,1.75716114044189,1,vertical,vertical,1,0.752939276695251,green,1,NaN,878.799333565612,842.519411655264,NaN,NaN,878.799333565612,842.519411655264,1049.42763818712,653.017481158529,970.628304621509,410.498069503264,721.200666434388,357.480588344736,550.57236181288,546.982518841471,629.371695378491,789.501930496736,4,0,0,0,0,0,vertical,horizontal,vertical,vertical,vertical,vertical
1c,12,100150,1,17,17,21,M,NA,variable,homogeneous,5,present,1.15177297592163,0,horizontal,vertical,1,0.776468396186829,green,5,4,572.793336331966,715.767577433584,619.68777079743,419.68777079743,839.890788585259,851.86052685176,1051.86052685176,639.890788585259,915.767577433584,372.793336331966,619.68777079743,419.68777079743,572.793336331966,715.767577433584,0,0,0,0,0,0,4,NaN,horizontal,horizontal,vertical,vertical,horizontal,none
1c,12,100150,1,18,18,21,M,NA,variable,homogeneous,6,absent,1.4508101940155,1,horizontal,horizontal,1,0.776468396186829,red,1,NaN,831.076682568313,853.099268668537,NaN,NaN,831.076682568313,853.099268668537,1034.72873763037,699.636437764765,1003.65205506206,446.537169096228,768.923317431687,346.900731331463,565.271262369628,500.363562235235,596.34794493794,753.462830903772,4,0,0,0,0,0,horizontal,vertical,horizontal,vertical,vertical,horizontal
1c,12,100150,1,19,19,21,M,NA,variable,homogeneous,3,present,0.709192991256714,1,horizontal,horizontal,1,1.05881783008575,red,1,2,729.712474266665,845.121732464271,1047.42541020038,538.309916622085,729.712474266665,845.121732464271,1047.42541020038,538.309916622085,622.862115532956,416.568350913644,0,0,0,0,0,0,4,0,0,NaN,NaN,NaN,horizontal,vertical,horizontal,none,none,none
1c,12,100150,1,20,20,21,M,NA,variable,homogeneous,3,present,1.22582697868347,1,horizontal,horizontal,1,0.717645597457886,green,1,2,692.232343256122,831.108485694346,1054.0296480134,577.775285599347,692.232343256122,831.108485694346,1054.0296480134,577.775285599347,653.738008730483,391.116228706307,0,0,0,0,0,0,4,0,0,NaN,NaN,NaN,horizontal,horizontal,horizontal,none,none,none
1c,12,100150,1,21,21,21,M,NA,variable,homogeneous,4,present,1.14365291595459,1,vertical,vertical,1,0.84705575466156,green,2,3,1027.20666366803,715.767577433584,915.767577433584,372.793336331966,684.232422566416,827.206663668034,1027.20666366803,715.767577433584,915.767577433584,372.793336331966,572.793336331966,484.232422566416,0,0,0,0,0,4,0,0,NaN,NaN,vertical,vertical,vertical,vertical,none,none
1c,12,100150,1,22,22,21,M,NA,variable,homogeneous,4,present,1.82915997505188,1,horizontal,horizontal,1,0.92940767288208,red,1,4,721.200666434388,842.519411655264,557.480588344736,521.200666434388,721.200666434388,842.519411655264,1042.51941165526,678.799333565612,878.799333565612,357.480588344736,557.480588344736,521.200666434388,0,0,0,0,4,0,0,0,NaN,NaN,horizontal,horizontal,vertical,vertical,none,none
1c,12,100150,1,23,23,21,M,NA,variable,homogeneous,4,present,0.799149990081787,1,vertical,vertical,1,0.858820314407349,red,3,4,963.910840470068,404.658667004661,604.658667004661,436.089159529932,636.089159529932,795.341332995339,995.341332995339,763.910840470068,963.910840470068,404.658667004661,604.658667004661,436.089159529932,0,0,0,0,0,0,4,0,NaN,NaN,horizontal,vertical,vertical,horizontal,none,none
