experiment,subject,uniqueID,block,trial,trial_cumulative,age,gender,color_cond_blocking,color_history,shape_type,set_size,distractor,rt,acc,target_orient,response_key,response_made,iti,target_color,target_item,distractor_item,target_X,target_Y,distractor_X,distractor_Y,item1_X,item1_Y,item2_X,item2_Y,item3_X,item3_Y,item4_X,item4_Y,item5_X,item5_Y,item6_X,item6_Y,item1_shape,item2_shape,item3_shape,item4_shape,item5_shape,item6_shape,item1_line,item2_line,item3_line,item4_line,item5_line,item6_line
1c,8,100126,1,1,1,22,O,NA,variable,homogeneous,4,present,NaN,0,vertical,none,0,0.882348200959979,green,4,2,545.621167183745,582.212099195248,1054.37883281626,617.787900804752,782.212099195248,854.378832816255,1054.37883281626,617.787900804752,817.787900804752,345.621167183745,545.621167183745,582.212099195248,0,0,0,0,0,0,0,4,NaN,NaN,horizontal,horizontal,horizontal,vertical,none,none
1c,8,100126,1,2,2,22,O,NA,variable,homogeneous,6,absent,1.0770571231842,1,horizontal,horizontal,1,0.776467625599987,red,3,NaN,1016.25226451989,464.870587620533,NaN,NaN,808.899371659138,854.844660889869,1025.15163617903,719.715248510402,1016.25226451989,464.870587620533,791.100628340862,345.155339110131,574.848363820974,480.284751489598,583.747735480111,735.129412379467,0,0,4,0,0,0,horizontal,vertical,horizontal,vertical,horizontal,horizontal
1c,8,100126,1,3,3,22,O,NA,variable,homogeneous,6,present,0.851188182830811,1,vertical,vertical,1,0.64705803349333,red,2,5,1049.42763818712,653.017481158529,550.57236181288,546.982518841471,878.799333565612,842.519411655264,1049.42763818712,653.017481158529,970.628304621509,410.498069503264,721.200666434388,357.480588344736,550.57236181288,546.982518841471,629.371695378491,789.501930496736,0,4,0,0,0,0,vertical,vertical,vertical,vertical,vertical,vertical
1c,8,100126,1,4,4,22,O,NA,variable,homogeneous,3,present,0.597459077835083,1,vertical,vertical,1,0.882348200959979,red,3,1,567.045908301137,703.717843984329,1006.29933356561,749.885239334581,1006.29933356561,749.885239334581,826.654758133252,346.39691668109,567.045908301137,703.717843984329,0,0,0,0,0,0,0,0,4,NaN,NaN,NaN,horizontal,horizontal,vertical,none,none,none
1c,8,100126,1,5,5,22,O,NA,variable,homogeneous,4,present,0.607122182846069,1,vertical,vertical,1,1.0705803349333,red,2,3,1011.40458100154,742.594190385041,942.594190385041,388.595418998464,657.405809614959,811.404581001536,1011.40458100154,742.594190385041,942.594190385041,388.595418998464,588.595418998464,457.40580961496,0,0,0,0,0,4,0,0,NaN,NaN,horizontal,vertical,vertical,vertical,none,none
1c,8,100126,1,6,6,22,O,NA,variable,homogeneous,5,present,0.784670829772949,1,horizontal,horizontal,1,0.658822541866662,red,4,2,586.139005173917,461.117046071168,1054.65053136242,586.654331158049,891.383827134052,838.063008756786,1054.65053136242,586.654331158049,865.998856501143,353.688914296288,586.139005173917,461.117046071168,601.827779828472,760.476699717708,0,0,0,0,0,4,0,NaN,horizontal,horizontal,horizontal,horizontal,horizontal,none
1c,8,100126,1,7,7,22,O,NA,variable,homogeneous,3,absent,0.580355882644653,1,vertical,vertical,1,0.799996642346652,red,1,NaN,839.890788585259,851.86052685176,NaN,NaN,839.890788585259,851.86052685176,998.172220171528,439.523300282291,561.936991243214,508.616172865948,0,0,0,0,0,0,4,0,0,NaN,NaN,NaN,vertical,horizontal,horizontal,none,none,none
1c,8,100126,1,8,8,22,O,NA,variable,homogeneous,4,present,0.82788610458374,1,horizontal,horizontal,1,1.01175779306664,red,2,1,1003.65205506206,446.537169096228,953.462830903772,803.65205506206,953.462830903772,803.65205506206,1003.65205506206,446.537169096228,646.537169096228,396.34794493794,596.34794493794,753.462830903772,0,0,0,0,0,4,0,0,NaN,NaN,vertical,horizontal,vertical,vertical,none,none
1c,8,100126,1,9,9,22,O,NA,variable,homogeneous,3,absent,0.578503131866455,1,horizontal,horizontal,1,1.0705803349333,green,1,NaN,650.114760665419,806.299333565612,NaN,NaN,650.114760665419,806.299333565612,1053.60308331891,626.654758133252,696.282156015671,367.045908301137,0,0,0,0,0,0,4,0,0,NaN,NaN,NaN,horizontal,vertical,vertical,none,none,none
1c,8,100126,1,10,10,22,O,NA,variable,homogeneous,6,absent,0.619395971298218,0,vertical,horizontal,1,1.05881582655997,green,5,NaN,545.155339110131,591.100628340862,NaN,NaN,919.715248510402,825.151636179026,1054.84466088987,608.899371659138,935.129412379467,383.747735480111,680.284751489598,374.848363820974,545.155339110131,591.100628340862,664.870587620533,816.252264519889,0,0,0,0,4,0,vertical,vertical,vertical,vertical,vertical,vertical
1c,8,100126,1,11,11,22,O,NA,variable,homogeneous,4,absent,0.979856967926025,1,vertical,vertical,1,0.799996642346652,red,3,NaN,676.373546837184,376.971974679454,NaN,NaN,923.626453162816,823.028025320546,1023.02802532055,476.373546837184,676.373546837184,376.971974679454,576.971974679454,723.626453162816,0,0,0,0,0,0,4,0,NaN,NaN,vertical,horizontal,vertical,vertical,none,none
1c,8,100126,1,12,12,22,O,NA,variable,homogeneous,5,present,0.695892095565796,1,vertical,vertical,1,0.799996642346652,green,2,3,1054.65053136242,613.345668841951,891.383827134052,361.936991243214,865.998856501143,846.311085703712,1054.65053136242,613.345668841951,891.383827134052,361.936991243214,601.827779828472,439.523300282291,586.139005173917,738.882953928832,0,0,0,4,0,0,0,NaN,vertical,vertical,horizontal,vertical,vertical,none
1c,8,100126,1,13,13,22,O,NA,variable,homogeneous,5,present,0.651607036590576,1,vertical,vertical,1,0.882348200959979,green,2,1,1055,600,878.799333565612,842.519411655264,878.799333565612,842.519411655264,1055,600,878.799333565612,357.480588344736,593.700666434388,450.114760665419,593.700666434388,749.885239334581,0,0,0,4,0,0,0,NaN,vertical,vertical,vertical,horizontal,horizontal,none
1c,8,100126,1,14,14,22,O,NA,variable,homogeneous,5,absent,0.767725944519043,1,vertical,vertical,1,0.952935251199974,red,1,NaN,899.636437764765,834.728737630372,NaN,NaN,899.636437764765,834.728737630372,1054.0296480134,577.775285599347,857.362518857686,351.535633479765,581.422338320961,468.665290897936,607.549057043193,767.295052392579,0,0,4,0,0,0,0,NaN,vertical,horizontal,horizontal,horizontal,vertical,none
