experiment,subject,uniqueID,block,trial,trial_cumulative,age,gender,color_cond_blocking,color_history,shape_type,set_size,distractor,rt,acc,target_orient,response_key,response_made,iti,target_color,target_item,distractor_item,target_X,target_Y,distractor_X,distractor_Y,item1_X,item1_Y,item2_X,item2_Y,item3_X,item3_Y,item4_X,item4_Y,item5_X,item5_Y,item6_X,item6_Y,item1_shape,item2_shape,item3_shape,item4_shape,item5_shape,item6_shape,item1_line,item2_line,item3_line,item4_line,item5_line,item6_line
1c,9,100149,1,1,1,18,F,NA,variable,homogeneous,4,absent,0.97520899772644,1,horizontal,horizontal,1,0.835291194915772,red,1,NaN,716.980120613425,841.107236777826,NaN,NaN,716.980120613425,841.107236777826,1041.10723677783,683.019879386575,883.019879386575,358.892763222174,558.892763222174,516.980120613425,0,0,0,0,4,0,0,0,NaN,NaN,horizontal,vertical,horizontal,vertical,none,none
1c,9,100149,1,2,2,18,F,NA,variable,homogeneous,5,absent,0.647718906402588,1,vertical,vertical,1,0.858820314407349,green,2,NaN,1046.31108570371,534.001143498857,NaN,NaN,938.882953928832,813.860994826083,1046.31108570371,534.001143498857,813.345668841951,345.349468637584,561.936991243214,508.616172865948,639.523300282292,798.172220171528,0,0,0,4,0,0,0,NaN,horizontal,vertical,horizontal,vertical,vertical,none
1c,9,100149,1,3,3,18,F,NA,variable,homogeneous,6,present,0.746219873428345,0,vertical,horizontal,1,0.858820314407349,red,5,6,653.738008730483,391.116228706307,545.970351986605,622.224714400653,692.232343256122,831.108485694346,946.261991269517,808.883771293693,1054.0296480134,577.775285599347,907.767656743878,368.891514305654,653.738008730483,391.116228706307,545.970351986605,622.224714400653,0,0,0,0,4,0,vertical,horizontal,horizontal,horizontal,vertical,horizontal
1c,9,100149,1,4,4,18,F,NA,variable,homogeneous,3,absent,0.661623001098633,1,vertical,vertical,1,0.835291194915772,green,2,NaN,1053.60308331891,626.654758133252,NaN,NaN,650.114760665419,806.299333565612,1053.60308331891,626.654758133252,696.282156015671,367.045908301137,0,0,0,0,0,0,0,4,0,NaN,NaN,NaN,horizontal,vertical,vertical,none,none,none
1c,9,100149,1,5,5,18,F,NA,variable,homogeneous,5,present,0.967718839645386,1,vertical,vertical,1,0.623529119491577,green,5,3,556.142287229426,674.554784704298,953.462830903772,396.34794493794,795.549636358493,854.96116226488,1041.10723677783,683.019879386575,953.462830903772,396.34794493794,653.738008730483,391.116228706307,556.142287229426,674.554784704298,0,0,0,0,0,0,4,NaN,horizontal,horizontal,vertical,vertical,vertical,none
1c,9,100149,1,6,6,18,F,NA,variable,homogeneous,3,present,0.583755970001221,1,horizontal,horizontal,1,1.02352415084839,red,3,1,729.712474266665,354.878267535729,622.862115532956,783.431649086356,622.862115532956,783.431649086356,1047.42541020038,661.690083377915,729.712474266665,354.878267535729,0,0,0,0,0,0,0,0,4,NaN,NaN,NaN,vertical,horizontal,horizontal,none,none,none
1c,9,100149,1,7,7,18,F,NA,variable,homogeneous,6,absent,0.813153028488159,1,vertical,vertical,1,0.670587358474731,green,2,NaN,1038.06300875679,691.383827134052,NaN,NaN,839.890788585259,851.86052685176,1038.06300875679,691.383827134052,998.172220171528,439.523300282291,760.109211414741,348.13947314824,561.936991243214,508.616172865948,601.827779828472,760.476699717708,0,4,0,0,0,0,vertical,vertical,horizontal,vertical,vertical,horizontal
1c,9,100149,1,8,8,18,F,NA,variable,homogeneous,5,present,0.655380964279175,1,horizontal,horizontal,1,1.09411150932312,green,2,1,1054.0296480134,577.775285599347,899.636437764765,834.728737630372,899.636437764765,834.728737630372,1054.0296480134,577.775285599347,857.362518857686,351.535633479765,581.422338320961,468.665290897936,607.549057043193,767.295052392579,0,0,0,4,0,0,0,NaN,horizontal,horizontal,horizontal,vertical,vertical,none
1c,9,100149,1,9,9,18,F,NA,variable,homogeneous,3,present,0.846037149429321,1,vertical,vertical,1,0.670587358474731,green,3,1,696.282156015671,367.045908301137,650.114760665419,806.299333565612,650.114760665419,806.299333565612,1053.60308331891,626.654758133252,696.282156015671,367.045908301137,0,0,0,0,0,0,0,0,4,NaN,NaN,NaN,horizontal,vertical,vertical,none,none,none
1c,9,100149,1,10,10,18,F,NA,variable,homogeneous,4,present,0.690767049789429,1,vertical,vertical,1,0.976465911865234,green,2,3,1042.51941165526,678.799333565612,878.799333565612,357.480588344736,721.200666434388,842.519411655264,1042.51941165526,678.799333565612,878.799333565612,357.480588344736,557.480588344736,521.200666434388,0,0,0,0,0,4,0,0,NaN,NaN,horizontal,vertical,horizontal,vertical,none,none
