experiment,subject,uniqueID,block,trial,trial_cumulative,age,gender,color_cond_blocking,color_history,shape_type,set_size,distractor,rt,acc,target_orient,response_key,response_made,iti,target_color,target_item,distractor_item,target_X,target_Y,distractor_X,distractor_Y,item1_X,item1_Y,item2_X,item2_Y,item3_X,item3_Y,item4_X,item4_Y,item5_X,item5_Y,item6_X,item6_Y,item1_shape,item2_shape,item3_shape,item4_shape,item5_shape,item6_shape,item1_line,item2_line,item3_line,item4_line,item5_line,item6_line
1c,16,100143,1,1,1,19,F,NA,variable,homogeneous,4,present,1.34262299537659,1,horizontal,horizontal,1,0.764700880917636,green,1,4,729.712474266665,845.121732464271,554.878267535729,529.712474266665,729.712474266665,845.121732464271,1045.12173246427,670.287525733335,870.287525733335,354.878267535729,554.878267535729,529.712474266665,0,0,0,0,4,0,0,0,NaN,NaN,horizontal,vertical,vertical,vertical,none,none
1c,16,100143,1,2,2,19,F,NA,variable,homogeneous,6,absent,1.22381210327148,1,horizontal,horizontal,1,0.71764348636974,red,4,NaN,822.224714400653,345.970351986605,NaN,NaN,777.775285599347,854.029648013395,1008.88377129369,746.261991269517,1031.10848569435,492.232343256122,822.224714400653,345.970351986605,591.116228706307,453.738008730483,568.891514305654,707.767656743878,0,0,0,4,0,0,vertical,horizontal,horizontal,horizontal,horizontal,horizontal
1c,16,100143,1,3,3,19,F,NA,variable,homogeneous,6,present,0.586963891983032,1,vertical,vertical,1,0.905873064561324,red,4,3,831.076682568313,346.900731331463,1034.72873763037,500.363562235235,768.923317431687,853.099268668537,1003.65205506206,753.462830903772,1034.72873763037,500.363562235235,831.076682568313,346.900731331463,596.34794493794,446.537169096228,565.271262369628,699.636437764765,0,0,0,4,0,0,horizontal,vertical,vertical,vertical,horizontal,horizontal
1c,16,100143,1,4,4,19,F,NA,variable,homogeneous,3,present,1.16506886482239,1,vertical,vertical,1,0.917637413198298,green,2,1,804.450363641507,345.03883773512,1018.57766167904,731.334709102064,1018.57766167904,731.334709102064,804.450363641507,345.03883773512,576.971974679454,723.626453162816,0,0,0,0,0,0,0,4,0,NaN,NaN,NaN,horizontal,vertical,horizontal,none,none,none
1c,16,100143,1,5,5,19,F,NA,variable,homogeneous,5,present,1.01303911209106,1,horizontal,horizontal,1,0.623528697273948,green,5,2,557.480588344736,678.799333565612,1042.51941165526,678.799333565612,800,855,1042.51941165526,678.799333565612,949.885239334581,393.700666434388,650.114760665419,393.700666434388,557.480588344736,678.799333565612,0,0,0,0,0,0,4,NaN,horizontal,vertical,horizontal,vertical,horizontal,none
1c,16,100143,1,6,6,19,F,NA,variable,homogeneous,4,present,0.582879066467285,1,vertical,vertical,1,0.670586091821844,green,2,4,1048.46436652023,542.637481142314,551.535633479765,657.362518857686,857.362518857686,848.464366520235,1048.46436652023,542.637481142314,742.637481142314,351.535633479765,551.535633479765,657.362518857686,0,0,0,0,0,4,0,0,NaN,NaN,vertical,vertical,vertical,vertical,none,none
1c,16,100143,1,7,7,19,F,NA,variable,homogeneous,5,absent,0.99907398223877,1,vertical,vertical,1,0.611764348636974,green,4,NaN,716.980120613425,358.892763222174,NaN,NaN,725.445215295702,843.857712770574,1008.88377129369,746.261991269517,1003.65205506206,446.537169096228,716.980120613425,358.892763222174,545.03883773512,604.450363641507,0,0,0,0,0,4,0,NaN,vertical,vertical,vertical,vertical,horizontal,none
1c,16,100143,1,8,8,19,F,NA,variable,homogeneous,4,absent,0.844707012176514,1,vertical,vertical,1,0.870580018650402,red,4,NaN,574.848363820974,480.284751489598,NaN,NaN,680.284751489598,825.151636179026,1025.15163617903,719.715248510402,919.715248510402,374.848363820974,574.848363820974,480.284751489598,0,0,0,0,0,0,0,4,NaN,NaN,vertical,vertical,vertical,vertical,none,none
1c,16,100143,1,9,9,19,F,NA,variable,homogeneous,6,absent,0.77374005317688,0,horizontal,vertical,1,0.6,red,3,NaN,1029.19248180629,488.215357568785,NaN,NaN,782.212099195248,854.378832816255,1011.40458100154,742.594190385041,1029.19248180629,488.215357568785,817.787900804752,345.621167183745,588.595418998464,457.40580961496,570.807518193712,711.784642431215,0,0,4,0,0,0,vertical,vertical,horizontal,vertical,vertical,horizontal
1c,16,100143,1,10,10,19,F,NA,variable,homogeneous,3,absent,0.990702152252197,1,horizontal,horizontal,1,0.670586091821844,green,1,NaN,927.5,820.836477965032,NaN,NaN,927.5,820.836477965032,927.5,379.163522034968,545,600,0,0,0,0,0,0,4,0,0,NaN,NaN,NaN,horizontal,horizontal,horizontal,none,none,none
1c,16,100143,1,11,11,19,F,NA,variable,homogeneous,3,present,0.740080833435059,1,vertical,vertical,1,1.05880959684199,red,3,2,626.090418184063,413.504806087112,1048.46436652023,542.637481142314,725.445215295702,843.857712770574,1048.46436652023,542.637481142314,626.090418184063,413.504806087112,0,0,0,0,0,0,0,0,4,NaN,NaN,NaN,vertical,vertical,vertical,none,none,none
1c,16,100143,1,12,12,19,F,NA,variable,homogeneous,6,absent,1.50420379638672,1,vertical,vertical,1,1.05880959684199,green,1,NaN,704.475318678942,836.431882914531,NaN,NaN,704.475318678942,836.431882914531,956.993676208043,800.942742169714,1052.5183575291,564.510859255183,895.524681321058,363.568117085469,643.006323791957,399.057257830286,547.481642470899,635.489140744817,4,0,0,0,0,0,vertical,horizontal,horizontal,horizontal,horizontal,horizontal
1c,16,100143,1,13,13,19,F,NA,variable,homogeneous,6,present,1.02743601799011,1,vertical,vertical,1,0.858815670013428,green,1,5,672.5,820.836477965032,672.5,379.163522034968,672.5,820.836477965032,927.5,820.836477965032,1055,600,927.5,379.163522034968,672.5,379.163522034968,545,600,4,0,0,0,0,0,vertical,horizontal,vertical,vertical,horizontal,vertical
1c,16,100143,1,14,14,19,F,NA,variable,homogeneous,5,present,1.22803783416748,1,vertical,vertical,1,0.988223505020142,green,4,1,639.523300282292,401.827779828472,813.345668841951,854.650531362416,813.345668841951,854.650531362416,1046.31108570371,665.998856501143,938.882953928832,386.139005173917,639.523300282292,401.827779828472,561.936991243214,691.383827134052,0,0,0,0,0,4,0,NaN,horizontal,horizontal,vertical,vertical,horizontal,none
1c,16,100143,1,15,15,19,F,NA,variable,homogeneous,6,absent,1.19657111167908,1,vertical,vertical,1,0.988223505020142,red,6,NaN,546.900731331463,631.076682568313,NaN,NaN,700.363562235235,834.728737630372,953.462830903772,803.65205506206,1053.09926866854,568.923317431687,899.636437764765,365.271262369628,646.537169096228,396.34794493794,546.900731331463,631.076682568313,0,0,0,0,0,4,vertical,vertical,vertical,vertical,horizontal,vertical
