experiment,subject,uniqueID,block,trial,trial_cumulative,age,gender,color_cond_blocking,color_history,shape_type,set_size,distractor,rt,acc,target_orient,response_key,response_made,iti,target_color,target_item,distractor_item,target_X,target_Y,distractor_X,distractor_Y,item1_X,item1_Y,item2_X,item2_Y,item3_X,item3_Y,item4_X,item4_Y,item5_X,item5_Y,item6_X,item6_Y,item1_shape,item2_shape,item3_shape,item4_shape,item5_shape,item6_shape,item1_line,item2_line,item3_line,item4_line,item5_line,item6_line
1c,14,100151,1,1,1,20,F,NA,variable,homogeneous,6,present,0.764033079147339,1,horizontal,horizontal,1,1.02352277755737,green,5,2,550.57236181288,546.982518841471,1049.42763818712,653.017481158529,878.799333565612,842.519411655264,1049.42763818712,653.017481158529,970.628304621509,410.498069503264,721.200666434388,357.480588344736,550.57236181288,546.982518841471,629.371695378491,789.501930496736,0,0,0,0,4,0,horizontal,horizontal,horizontal,vertical,horizontal,horizontal
1c,14,100151,1,2,2,20,F,NA,variable,homogeneous,6,absent,0.646263122558594,1,vertical,vertical,1,0.941171126365662,red,5,NaN,632.704947607421,407.549057043193,NaN,NaN,716.980120613425,841.107236777826,967.295052392579,792.450942956807,1050.31493177915,551.343706178981,883.019879386575,358.892763222174,632.704947607421,407.549057043193,549.685068220846,648.656293821019,0,0,0,0,4,0,horizontal,horizontal,vertical,horizontal,vertical,vertical
1c,14,100151,1,3,3,20,F,NA,variable,homogeneous,5,absent,0.861371994018555,1,vertical,vertical,1,0.91764208316803,green,2,NaN,963.910840470068,795.341332995339,NaN,NaN,664.870587620533,816.252264519889,963.910840470068,795.341332995339,1036.43188291453,504.475318678942,782.212099195248,345.621167183745,552.574589799621,538.309916622085,0,0,0,4,0,0,0,NaN,horizontal,vertical,vertical,horizontal,horizontal,none
1c,14,100151,1,4,4,20,F,NA,variable,homogeneous,6,present,0.54497218132019,1,vertical,vertical,1,1.09410990715027,red,2,5,1011.40458100154,742.594190385041,588.595418998464,457.40580961496,782.212099195248,854.378832816255,1011.40458100154,742.594190385041,1029.19248180629,488.215357568785,817.787900804752,345.621167183745,588.595418998464,457.40580961496,570.807518193712,711.784642431215,0,4,0,0,0,0,vertical,vertical,horizontal,vertical,vertical,horizontal
1c,14,100151,1,5,5,20,F,NA,variable,homogeneous,6,absent,0.735860109329224,1,vertical,vertical,1,0.6,red,3,NaN,1038.06300875679,508.616172865948,NaN,NaN,760.109211414741,851.86052685176,998.172220171528,760.476699717708,1038.06300875679,508.616172865948,839.890788585259,348.13947314824,601.827779828472,439.523300282291,561.936991243214,691.383827134052,0,0,4,0,0,0,vertical,vertical,vertical,horizontal,vertical,vertical
1c,14,100151,1,6,6,20,F,NA,variable,homogeneous,5,absent,0.633409976959229,1,horizontal,horizontal,1,0.929406604766846,red,4,NaN,588.595418998464,457.40580961496,NaN,NaN,887.215136548046,839.621618300407,1054.84466088987,591.100628340862,870.287525733335,354.878267535729,588.595418998464,457.40580961496,599.057257830286,756.993676208043,0,0,0,0,0,4,0,NaN,horizontal,horizontal,vertical,horizontal,horizontal,none
1c,14,100151,1,7,7,20,F,NA,variable,homogeneous,6,present,0.751091003417969,1,vertical,vertical,1,0.847054953575134,green,1,6,839.890788585259,851.86052685176,601.827779828472,760.476699717708,839.890788585259,851.86052685176,1038.06300875679,691.383827134052,998.172220171528,439.523300282291,760.109211414741,348.13947314824,561.936991243214,508.616172865948,601.827779828472,760.476699717708,4,0,0,0,0,0,vertical,vertical,horizontal,vertical,horizontal,horizontal
1c,14,100151,1,8,8,20,F,NA,variable,homogeneous,3,absent,0.829150915145874,1,horizontal,horizontal,1,0.752938780784607,red,3,NaN,583.747735480111,464.870587620533,NaN,NaN,791.100628340862,854.844660889869,1025.15163617903,480.284751489598,583.747735480111,464.870587620533,0,0,0,0,0,0,0,0,4,NaN,NaN,NaN,horizontal,vertical,horizontal,none,none,none
1c,14,100151,1,9,9,20,F,NA,variable,homogeneous,4,absent,0.48188304901123,1,vertical,vertical,1,0.999993734359741,red,4,NaN,545.970351986605,622.224714400653,NaN,NaN,822.224714400653,854.029648013395,1054.0296480134,577.775285599347,777.775285599347,345.970351986605,545.970351986605,622.224714400653,0,0,0,0,0,0,0,4,NaN,NaN,vertical,vertical,vertical,vertical,none,none
1c,14,100151,1,10,10,20,F,NA,variable,homogeneous,5,absent,0.60733699798584,0,horizontal,vertical,1,1.01175825595856,green,2,NaN,1031.10848569435,707.767656743878,NaN,NaN,768.923317431687,853.099268668537,1031.10848569435,707.767656743878,973.909581815937,413.504806087112,676.373546837184,376.971974679454,549.685068220846,648.656293821019,0,0,0,4,0,0,0,NaN,horizontal,horizontal,vertical,vertical,horizontal,none
1c,14,100151,1,11,11,20,F,NA,variable,homogeneous,4,present,1.03667187690735,1,horizontal,horizontal,1,0.623529043197632,red,1,3,742.637481142314,848.464366520235,857.362518857686,351.535633479765,742.637481142314,848.464366520235,1048.46436652023,657.362518857686,857.362518857686,351.535633479765,551.535633479765,542.637481142314,0,0,0,0,4,0,0,0,NaN,NaN,horizontal,horizontal,vertical,vertical,none,none
1c,14,100151,1,12,12,20,F,NA,variable,homogeneous,4,present,0.623239994049072,1,vertical,vertical,1,0.870583996772766,red,1,4,938.882953928832,813.860994826083,586.139005173917,738.882953928832,938.882953928832,813.860994826083,1013.86099482608,461.117046071168,661.117046071168,386.139005173917,586.139005173917,738.882953928832,0,0,0,0,4,0,0,0,NaN,NaN,vertical,horizontal,vertical,vertical,none,none
1c,14,100151,1,13,13,20,F,NA,variable,homogeneous,4,absent,0.665983200073242,1,vertical,vertical,1,0.905877561569214,green,4,NaN,607.549057043193,767.295052392579,NaN,NaN,967.295052392579,792.450942956807,992.450942956807,432.704947607421,632.704947607421,407.549057043193,607.549057043193,767.295052392579,0,0,0,0,0,0,0,4,NaN,NaN,horizontal,horizontal,vertical,vertical,none,none
1c,14,100151,1,14,14,20,F,NA,variable,homogeneous,4,absent,0.736640930175781,1,horizontal,horizontal,1,0.85881947517395,red,2,NaN,1032.95409169886,703.717843984329,NaN,NaN,696.282156015671,832.954091698863,1032.95409169886,703.717843984329,903.717843984329,367.045908301137,567.045908301137,496.282156015671,0,0,0,0,0,4,0,0,NaN,NaN,horizontal,horizontal,horizontal,horizontal,none,none
1c,14,100151,1,15,15,20,F,NA,variable,homogeneous,5,absent,1.10930609703064,1,vertical,vertical,1,1.09410990715027,red,3,NaN,977.137884467044,416.568350913644,NaN,NaN,764.510859255183,852.518357529101,1029.19248180629,711.784642431215,977.137884467044,416.568350913644,680.284751489598,374.848363820974,548.874022981887,644.280285305067,0,0,0,0,4,0,0,NaN,horizontal,vertical,vertical,vertical,vertical,none
1c,14,100151,1,16,16,20,F,NA,variable,homogeneous,6,absent,0.684184074401855,1,horizontal,horizontal,1,1.03528729915619,green,1,NaN,716.980120613425,841.107236777826,NaN,NaN,716.980120613425,841.107236777826,967.295052392579,792.450942956807,1050.31493177915,551.343706178981,883.019879386575,358.892763222174,632.704947607421,407.549057043193,549.685068220846,648.656293821019,4,0,0,0,0,0,horizontal,horizontal,horizontal,horizontal,vertical,horizontal
1c,14,100151,1,17,17,20,F,NA,variable,homogeneous,5,present,0.995703935623169,1,horizontal,horizontal,1,0.65882260799408,red,2,3,1043.85771277057,525.445215295702,804.450363641507,345.03883773512,946.261991269517,808.883771293693,1043.85771277057,525.445215295702,804.450363641507,345.03883773512,558.892763222174,516.980120613425,646.537169096228,803.65205506206,0,0,0,4,0,0,0,NaN,vertical,horizontal,vertical,vertical,horizontal,none
1c,14,100151,1,18,18,20,F,NA,variable,homogeneous,5,present,0.730139017105103,1,vertical,vertical,1,0.929406604766846,green,3,2,931.334709102064,381.422338320961,1048.46436652023,657.362518857686,822.224714400653,854.029648013395,1048.46436652023,657.362518857686,931.334709102064,381.422338320961,632.704947607421,407.549057043193,565.271262369628,699.636437764765,0,0,0,0,4,0,0,NaN,vertical,horizontal,vertical,horizontal,vertical,none
1c,14,100151,1,19,19,20,F,NA,variable,homogeneous,3,present,0.64924693107605,1,vertical,vertical,1,0.811761388778687,red,3,1,545.970351986605,577.775285599347,907.767656743878,831.108485694346,907.767656743878,831.108485694346,946.261991269517,391.116228706307,545.970351986605,577.775285599347,0,0,0,0,0,0,0,0,4,NaN,NaN,NaN,horizontal,vertical,vertical,none,none,none
1c,14,100151,1,20,20,20,F,NA,variable,homogeneous,6,absent,0.723636150360107,1,vertical,vertical,1,1.05881634235382,green,3,NaN,949.885239334581,393.700666434388,NaN,NaN,903.717843984329,832.954091698863,1053.60308331891,626.654758133252,949.885239334581,393.700666434388,696.282156015671,367.045908301137,546.39691668109,573.345241866748,650.114760665419,806.299333565612,0,0,4,0,0,0,vertical,vertical,vertical,horizontal,horizontal,vertical
1c,14,100151,1,21,21,20,F,NA,variable,homogeneous,3,absent,0.671910047531128,1,horizontal,horizontal,1,0.682351651191711,red,3,NaN,560.378381699593,512.784863451954,NaN,NaN,844.280285305067,851.125977018113,995.341332995339,436.089159529932,560.378381699593,512.784863451954,0,0,0,0,0,0,0,0,4,NaN,NaN,NaN,horizontal,horizontal,horizontal,none,none,none
1c,14,100151,1,22,22,20,F,NA,variable,homogeneous,6,present,0.807816982269287,1,horizontal,horizontal,1,0.717645215988159,red,1,4,899.636437764765,834.728737630372,700.363562235235,365.271262369628,899.636437764765,834.728737630372,1053.09926866854,631.076682568313,953.462830903772,396.34794493794,700.363562235235,365.271262369628,546.900731331463,568.923317431687,646.537169096228,803.65205506206,4,0,0,0,0,0,horizontal,vertical,horizontal,vertical,horizontal,horizontal
1c,14,100151,1,23,23,20,F,NA,variable,homogeneous,4,present,0.745265007019043,1,horizontal,horizontal,1,1.05881634235382,green,1,4,773.345241866748,853.60308331891,546.39691668109,573.345241866748,773.345241866748,853.60308331891,1053.60308331891,626.654758133252,826.654758133252,346.39691668109,546.39691668109,573.345241866748,0,0,0,0,4,0,0,0,NaN,NaN,horizontal,horizontal,vertical,vertical,none,none
1c,14,100151,1,24,24,20,F,NA,variable,homogeneous,6,present,0.67565393447876,1,horizontal,horizontal,1,0.964700169563294,green,2,6,1039.62161830041,687.215136548046,604.658667004661,763.910840470068,844.280285305067,851.125977018113,1039.62161830041,687.215136548046,995.341332995339,436.089159529932,755.719714694933,348.874022981887,560.378381699593,512.784863451954,604.658667004661,763.910840470068,0,4,0,0,0,0,vertical,horizontal,vertical,vertical,vertical,horizontal
1c,14,100151,1,25,25,20,F,NA,variable,homogeneous,5,present,0.66103196144104,1,vertical,vertical,1,1.01175825595856,green,2,5,1052.5183575291,635.489140744817,574.848363820974,719.715248510402,844.280285305067,851.125977018113,1052.5183575291,635.489140744817,911.784642431215,370.807518193712,616.568350913644,422.862115532956,574.848363820974,719.715248510402,0,0,0,4,0,0,0,NaN,horizontal,vertical,horizontal,horizontal,horizontal,none
1c,14,100151,1,26,26,20,F,NA,variable,homogeneous,5,absent,0.75434398651123,1,vertical,vertical,1,0.964700169563294,green,2,NaN,1045.12173246427,670.287525733335,NaN,NaN,808.899371659138,854.844660889869,1045.12173246427,670.287525733335,942.594190385041,388.595418998464,643.006323791957,399.057257830286,560.378381699593,687.215136548046,0,0,0,4,0,0,0,NaN,horizontal,vertical,vertical,vertical,vertical,none
1c,14,100151,1,27,27,20,F,NA,variable,homogeneous,5,present,0.993028879165649,1,horizontal,horizontal,1,0.964700169563294,green,2,3,1006.29933356561,749.885239334581,1006.29933356561,450.114760665419,721.200666434388,842.519411655264,1006.29933356561,749.885239334581,1006.29933356561,450.114760665419,721.200666434388,357.480588344736,545,600,0,0,0,4,0,0,0,NaN,horizontal,horizontal,vertical,vertical,vertical,none
1c,14,100151,1,28,28,20,F,NA,variable,homogeneous,4,absent,0.59588098526001,1,horizontal,horizontal,1,0.741174259185791,green,4,NaN,561.936991243214,691.383827134052,NaN,NaN,891.383827134052,838.063008756786,1038.06300875679,508.616172865948,708.616172865948,361.936991243214,561.936991243214,691.383827134052,0,0,0,0,0,0,0,4,NaN,NaN,horizontal,horizontal,vertical,horizontal,none,none
1c,14,100151,1,29,29,20,F,NA,variable,homogeneous,5,absent,0.643887996673584,1,horizontal,horizontal,1,0.6,red,2,NaN,1042.51941165526,521.200666434388,NaN,NaN,949.885239334581,806.299333565612,1042.51941165526,521.200666434388,800,345,557.480588344736,521.200666434388,650.114760665419,806.299333565612,0,0,0,4,0,0,0,NaN,vertical,horizontal,vertical,vertical,horizontal,none
1c,14,100151,1,30,30,20,F,NA,variable,homogeneous,4,absent,0.573601007461548,1,horizontal,horizontal,1,0.847054953575134,green,2,NaN,1039.62161830041,512.784863451954,NaN,NaN,887.215136548046,839.621618300407,1039.62161830041,512.784863451954,712.784863451954,360.378381699593,560.378381699593,687.215136548046,0,0,0,0,0,4,0,0,NaN,NaN,horizontal,horizontal,vertical,horizontal,none,none
1c,14,100151,1,31,31,20,F,NA,variable,homogeneous,3,absent,0.615147113800049,1,horizontal,horizontal,1,0.694116172790527,green,3,NaN,742.637481142314,351.535633479765,NaN,NaN,613.504806087112,773.909581815937,1043.85771277057,674.554784704298,742.637481142314,351.535633479765,0,0,0,0,0,0,0,0,4,NaN,NaN,NaN,horizontal,vertical,horizontal,none,none,none
1c,14,100151,1,32,32,20,F,NA,variable,homogeneous,3,absent,0.693334102630615,1,vertical,vertical,1,0.882348518371582,red,2,NaN,1054.65053136242,613.345668841951,NaN,NaN,661.117046071168,813.860994826083,1054.65053136242,613.345668841951,684.232422566416,372.793336331966,0,0,0,0,0,0,0,4,0,NaN,NaN,NaN,horizontal,vertical,horizontal,none,none,none
1c,14,100151,1,33,33,20,F,NA,variable,homogeneous,3,present,0.789380073547363,1,horizontal,horizontal,1,0.894113039970398,red,2,1,1045.12173246427,529.712474266665,738.309916622085,847.425410200379,738.309916622085,847.425410200379,1045.12173246427,529.712474266665,616.568350913644,422.862115532956,0,0,0,0,0,0,0,4,0,NaN,NaN,NaN,horizontal,horizontal,vertical,none,none,none
1c,14,100151,1,34,34,20,F,NA,variable,homogeneous,3,absent,0.693857908248901,1,horizontal,horizontal,1,0.623529043197632,green,1,NaN,692.232343256122,831.108485694346,NaN,NaN,692.232343256122,831.108485694346,1054.0296480134,577.775285599347,653.738008730483,391.116228706307,0,0,0,0,0,0,4,0,0,NaN,NaN,NaN,horizontal,horizontal,horizontal,none,none,none
1c,14,100151,1,35,35,20,F,NA,variable,homogeneous,6,absent,0.657349109649658,1,horizontal,horizontal,1,1.05881634235382,green,6,NaN,581.422338320961,731.334709102064,NaN,NaN,804.450363641507,854.96116226488,1023.02802532055,723.626453162816,1018.57766167904,468.665290897936,795.549636358493,345.03883773512,576.971974679454,476.373546837184,581.422338320961,731.334709102064,0,0,0,0,0,4,horizontal,vertical,vertical,vertical,horizontal,horizontal
1c,14,100151,1,36,36,20,F,NA,variable,homogeneous,5,present,0.622903108596802,1,vertical,vertical,1,0.611764521598816,red,2,4,949.885239334581,806.299333565612,800,345,650.114760665419,806.299333565612,949.885239334581,806.299333565612,1042.51941165526,521.200666434388,800,345,557.480588344736,521.200666434388,0,0,0,4,0,0,0,NaN,horizontal,vertical,horizontal,horizontal,vertical,none
