experiment,subject,uniqueID,block,trial,trial_cumulative,age,gender,color_cond_blocking,color_history,shape_type,set_size,distractor,rt,acc,target_orient,response_key,response_made,iti,target_color,target_item,distractor_item,target_X,target_Y,distractor_X,distractor_Y,item1_X,item1_Y,item2_X,item2_Y,item3_X,item3_Y,item4_X,item4_Y,item5_X,item5_Y,item6_X,item6_Y,item1_shape,item2_shape,item3_shape,item4_shape,item5_shape,item6_shape,item1_line,item2_line,item3_line,item4_line,item5_line,item6_line
1c,15,100142,1,1,1,22,F,NA,variable,homogeneous,5,absent,1.34988689422607,1,vertical,vertical,1,0.647057413285778,red,4,NaN,746.982518841471,350.57236181288,NaN,NaN,696.282156015671,832.954091698863,989.501930496736,770.628304621509,1020.83647796503,472.5,746.982518841471,350.57236181288,546.39691668109,573.345241866748,0,0,0,0,0,4,0,NaN,vertical,horizontal,vertical,vertical,vertical,none
1c,15,100142,1,2,2,22,F,NA,variable,homogeneous,5,present,0.961672067642212,1,vertical,vertical,1,0.847051419750337,green,1,2,861.690083377915,847.425410200379,1054.37883281626,617.787900804752,861.690083377915,847.425410200379,1054.37883281626,617.787900804752,895.524681321058,363.568117085469,604.658667004661,436.089159529932,583.747735480111,735.129412379467,0,0,4,0,0,0,0,NaN,vertical,vertical,vertical,horizontal,horizontal,none
1c,15,100142,1,3,3,22,F,NA,variable,homogeneous,4,absent,0.594851016998291,1,vertical,vertical,1,0.90587318635756,red,3,NaN,977.137884467044,416.568350913644,NaN,NaN,622.862115532956,783.431649086356,983.431649086356,777.137884467044,977.137884467044,416.568350913644,616.568350913644,422.862115532956,0,0,0,0,0,0,4,0,NaN,NaN,horizontal,vertical,vertical,vertical,none,none
1c,15,100142,1,4,4,22,F,NA,variable,homogeneous,3,absent,0.653822898864746,1,horizontal,horizontal,1,0.717643533214446,green,3,NaN,546.39691668109,626.654758133252,NaN,NaN,949.885239334581,806.299333565612,903.717843984329,367.045908301137,546.39691668109,626.654758133252,0,0,0,0,0,0,0,0,4,NaN,NaN,NaN,vertical,horizontal,horizontal,none,none,none
1c,15,100142,1,5,5,22,F,NA,variable,homogeneous,4,absent,1.12322592735291,1,horizontal,horizontal,1,0.823522713107447,red,1,NaN,899.636437764765,834.728737630372,NaN,NaN,899.636437764765,834.728737630372,1034.72873763037,500.363562235235,700.363562235235,365.271262369628,565.271262369628,699.636437764765,0,0,0,0,4,0,0,0,NaN,NaN,horizontal,horizontal,vertical,horizontal,none,none
1c,15,100142,1,6,6,22,F,NA,variable,homogeneous,4,present,0.763309001922607,1,horizontal,horizontal,1,1.07057413285778,green,1,2,661.117046071168,813.860994826083,1013.86099482608,738.882953928832,661.117046071168,813.860994826083,1013.86099482608,738.882953928832,938.882953928832,386.139005173917,586.139005173917,461.117046071168,0,0,0,0,4,0,0,0,NaN,NaN,horizontal,horizontal,horizontal,vertical,none,none
1c,15,100142,1,7,7,22,F,NA,variable,homogeneous,5,present,0.828224897384644,0,vertical,horizontal,1,0.870580126393226,red,5,4,545.621167183745,582.212099195248,738.309916622085,352.574589799621,704.475318678942,836.431882914531,995.341332995339,763.910840470068,1016.25226451989,464.870587620533,738.309916622085,352.574589799621,545.621167183745,582.212099195248,0,0,0,0,0,0,4,NaN,vertical,vertical,vertical,horizontal,vertical,none
1c,15,100142,1,8,8,22,F,NA,variable,homogeneous,3,absent,0.857594966888428,0,vertical,horizontal,1,1.02351671957201,green,2,NaN,1046.31108570371,534.001143498857,NaN,NaN,734.001143498857,846.311085703712,1046.31108570371,534.001143498857,619.68777079743,419.68777079743,0,0,0,0,0,0,0,4,0,NaN,NaN,NaN,vertical,vertical,horizontal,none,none,none
1c,15,100142,1,9,9,22,F,NA,variable,homogeneous,3,absent,0.94880199432373,1,vertical,vertical,1,0.894108833036115,green,2,NaN,870.287525733335,354.878267535729,NaN,NaN,977.137884467044,783.431649086356,870.287525733335,354.878267535729,552.574589799621,661.690083377915,0,0,0,0,0,0,0,4,0,NaN,NaN,NaN,vertical,vertical,horizontal,none,none,none
1c,15,100142,1,10,10,22,F,NA,variable,homogeneous,6,absent,0.788203001022339,1,vertical,vertical,1,0.823522713107447,green,2,NaN,1003.65205506206,753.462830903772,NaN,NaN,768.923317431687,853.099268668537,1003.65205506206,753.462830903772,1034.72873763037,500.363562235235,831.076682568313,346.900731331463,596.34794493794,446.537169096228,565.271262369628,699.636437764765,0,4,0,0,0,0,horizontal,vertical,vertical,vertical,vertical,vertical
