experiment,subject,uniqueID,block,trial,trial_cumulative,age,gender,color_cond_blocking,color_history,shape_type,set_size,distractor,rt,acc,target_orient,response_key,response_made,iti,target_color,target_item,distractor_item,target_X,target_Y,distractor_X,distractor_Y,item1_X,item1_Y,item2_X,item2_Y,item3_X,item3_Y,item4_X,item4_Y,item5_X,item5_Y,item6_X,item6_Y,item1_shape,item2_shape,item3_shape,item4_shape,item5_shape,item6_shape,item1_line,item2_line,item3_line,item4_line,item5_line,item6_line
1c,24,100167,1,1,1,25,F,NA,variable,homogeneous,3,present,NaN,0,vertical,none,0,0.917641973495483,green,2,1,967.295052392579,407.549057043193,883.019879386575,841.107236777826,883.019879386575,841.107236777826,967.295052392579,407.549057043193,549.685068220846,551.343706178981,0,0,0,0,0,0,0,4,0,NaN,NaN,NaN,horizontal,vertical,vertical,none,none,none
1c,24,100167,1,2,2,25,F,NA,variable,homogeneous,3,present,1.4445538520813,1,vertical,vertical,1,0.694116140294958,red,3,2,572.793336331966,484.232422566416,1013.86099482608,461.117046071168,813.345668841951,854.650531362416,1013.86099482608,461.117046071168,572.793336331966,484.232422566416,0,0,0,0,0,0,0,0,4,NaN,NaN,NaN,vertical,vertical,vertical,none,none,none
1c,24,100167,1,3,3,25,F,NA,variable,homogeneous,6,present,0.880575895309448,1,vertical,vertical,1,0.764703245516177,red,2,5,1020.83647796503,727.5,579.163522034968,472.5,800,855,1020.83647796503,727.5,1020.83647796503,472.5,800,345,579.163522034968,472.5,579.163522034968,727.5,0,4,0,0,0,0,vertical,vertical,horizontal,horizontal,vertical,horizontal
1c,24,100167,1,4,4,25,F,NA,variable,homogeneous,5,absent,0.830504894256592,1,vertical,vertical,1,0.623529035073739,green,4,NaN,650.114760665419,393.700666434388,NaN,NaN,800,855,1042.51941165526,678.799333565612,949.885239334581,393.700666434388,650.114760665419,393.700666434388,557.480588344736,678.799333565612,0,0,0,0,0,4,0,NaN,vertical,vertical,vertical,vertical,horizontal,none
1c,24,100167,1,5,5,25,F,NA,variable,homogeneous,4,absent,0.700496912002563,1,horizontal,horizontal,1,0.847054868274265,green,1,NaN,773.345241866748,853.60308331891,NaN,NaN,773.345241866748,853.60308331891,1053.60308331891,626.654758133252,826.654758133252,346.39691668109,546.39691668109,573.345241866748,0,0,0,0,4,0,0,0,NaN,NaN,horizontal,vertical,vertical,vertical,none,none
1c,24,100167,1,6,6,25,F,NA,variable,homogeneous,6,present,0.724305868148804,1,horizontal,horizontal,1,1.09410973654853,red,5,4,650.114760665419,393.700666434388,903.717843984329,367.045908301137,696.282156015671,832.954091698863,949.885239334581,806.299333565612,1053.60308331891,573.345241866748,903.717843984329,367.045908301137,650.114760665419,393.700666434388,546.39691668109,626.654758133252,0,0,0,0,4,0,vertical,horizontal,vertical,vertical,horizontal,vertical
1c,24,100167,1,7,7,25,F,NA,variable,homogeneous,4,present,0.670182943344116,1,vertical,vertical,1,0.764703245516177,green,4,2,601.827779828472,760.476699717708,998.172220171528,439.523300282291,960.476699717708,798.172220171528,998.172220171528,439.523300282291,639.523300282292,401.827779828472,601.827779828472,760.476699717708,0,0,0,0,0,0,0,4,NaN,NaN,horizontal,vertical,vertical,vertical,none,none
1c,24,100167,1,8,8,25,F,NA,variable,homogeneous,6,absent,0.508791923522949,1,horizontal,horizontal,1,1.04705166640105,green,5,NaN,661.117046071168,386.139005173917,NaN,NaN,684.232422566416,827.206663668034,938.882953928832,813.860994826083,1054.65053136242,586.654331158049,915.767577433584,372.793336331966,661.117046071168,386.139005173917,545.349468637584,613.345668841951,0,0,0,0,4,0,vertical,horizontal,horizontal,horizontal,horizontal,vertical
1c,24,100167,1,9,9,25,F,NA,variable,homogeneous,4,present,0.806329011917114,0,horizontal,vertical,1,0.752938727979307,red,2,1,1054.96116226488,604.450363641507,795.549636358493,854.96116226488,795.549636358493,854.96116226488,1054.96116226488,604.450363641507,804.450363641507,345.03883773512,545.03883773512,595.549636358493,0,0,0,0,0,4,0,0,NaN,NaN,vertical,horizontal,horizontal,horizontal,none,none
1c,24,100167,1,10,10,25,F,NA,variable,homogeneous,3,present,1.09718894958496,0,horizontal,vertical,1,0.929406491032353,red,2,1,1025.15163617903,480.284751489598,791.100628340862,854.844660889869,791.100628340862,854.844660889869,1025.15163617903,480.284751489598,583.747735480111,464.870587620533,0,0,0,0,0,0,0,4,0,NaN,NaN,NaN,vertical,horizontal,vertical,none,none,none
