experiment,subject,uniqueID,block,trial,trial_cumulative,age,gender,color_cond_blocking,color_history,shape_type,set_size,distractor,rt,acc,target_orient,response_key,response_made,iti,target_color,target_item,distractor_item,target_X,target_Y,distractor_X,distractor_Y,item1_X,item1_Y,item2_X,item2_Y,item3_X,item3_Y,item4_X,item4_Y,item5_X,item5_Y,item6_X,item6_Y,item1_shape,item2_shape,item3_shape,item4_shape,item5_shape,item6_shape,item1_line,item2_line,item3_line,item4_line,item5_line,item6_line
1c,10,100148,1,1,1,21,M,NA,variable,homogeneous,5,absent,1.0918071269989,1,horizontal,horizontal,1,0.929413814544678,red,1,NaN,721.200666434388,842.519411655264,NaN,NaN,721.200666434388,842.519411655264,1006.29933356561,749.885239334581,1006.29933356561,450.114760665419,721.200666434388,357.480588344736,545,600,0,0,4,0,0,0,0,NaN,horizontal,horizontal,vertical,horizontal,vertical,none
1c,10,100148,1,2,2,21,M,NA,variable,homogeneous,6,absent,1.42370510101318,1,vertical,vertical,1,0.705883011817932,red,3,NaN,938.882953928832,386.139005173917,NaN,NaN,915.767577433584,827.206663668034,1054.65053136242,613.345668841951,938.882953928832,386.139005173917,684.232422566416,372.793336331966,545.349468637584,586.654331158049,661.117046071168,813.860994826083,0,0,4,0,0,0,vertical,horizontal,vertical,horizontal,horizontal,vertical
1c,10,100148,1,3,3,21,M,NA,variable,homogeneous,5,present,1.57338905334473,1,vertical,vertical,1,1.04706160545349,red,3,5,853.017481158529,350.57236181288,610.498069503264,770.628304621509,903.717843984329,832.954091698863,1053.60308331891,573.345241866748,853.017481158529,350.57236181288,579.163522034968,472.5,610.498069503264,770.628304621509,0,0,0,0,4,0,0,NaN,horizontal,vertical,vertical,vertical,vertical,none
1c,10,100148,1,4,4,21,M,NA,variable,homogeneous,5,present,1.82954621315002,1,horizontal,horizontal,1,0.623529558181763,red,2,4,1051.12597701811,555.719714694933,570.807518193712,488.215357568785,919.715248510402,825.151636179026,1051.12597701811,555.719714694933,835.489140744817,347.4816424709,570.807518193712,488.215357568785,622.862115532956,783.431649086356,0,0,0,4,0,0,0,NaN,horizontal,horizontal,vertical,vertical,horizontal,none
1c,10,100148,1,5,5,21,M,NA,variable,homogeneous,4,absent,1.21571803092957,1,vertical,vertical,1,0.682353453636169,green,3,NaN,746.982518841471,350.57236181288,NaN,NaN,853.017481158529,849.42763818712,1049.42763818712,546.982518841471,746.982518841471,350.57236181288,550.57236181288,653.017481158529,0,0,0,0,0,0,4,0,NaN,NaN,vertical,vertical,vertical,vertical,none,none
1c,10,100148,1,6,6,21,M,NA,variable,homogeneous,5,absent,0.852386951446533,1,vertical,vertical,1,0.811766023635864,green,4,NaN,800,345,NaN,NaN,650.114760665419,806.299333565612,949.885239334581,806.299333565612,1042.51941165526,521.200666434388,800,345,557.480588344736,521.200666434388,0,0,0,0,0,4,0,NaN,horizontal,horizontal,horizontal,vertical,horizontal,none
1c,10,100148,1,7,7,21,M,NA,variable,homogeneous,4,absent,0.622422218322754,1,horizontal,horizontal,1,0.811766023635864,green,3,NaN,804.450363641507,345.03883773512,NaN,NaN,795.549636358493,854.96116226488,1054.96116226488,604.450363641507,804.450363641507,345.03883773512,545.03883773512,595.549636358493,0,0,0,0,0,0,4,0,NaN,NaN,vertical,vertical,horizontal,vertical,none,none
1c,10,100148,1,8,8,21,M,NA,variable,homogeneous,4,absent,1.52176690101624,1,horizontal,horizontal,1,0.752942128181457,red,2,NaN,1029.19248180629,488.215357568785,NaN,NaN,911.784642431215,829.192481806288,1029.19248180629,488.215357568785,688.215357568785,370.807518193712,570.807518193712,711.784642431215,0,0,0,0,0,4,0,0,NaN,NaN,horizontal,horizontal,horizontal,horizontal,none,none
1c,10,100148,1,9,9,21,M,NA,variable,homogeneous,5,present,0.662533044815063,1,horizontal,horizontal,1,0.705883011817932,red,2,3,1045.12173246427,529.712474266665,808.899371659138,345.155339110131,942.594190385041,811.404581001536,1045.12173246427,529.712474266665,808.899371659138,345.155339110131,560.378381699593,512.784863451954,643.006323791957,800.942742169714,0,0,0,4,0,0,0,NaN,horizontal,horizontal,vertical,horizontal,horizontal,none
1c,10,100148,1,10,10,21,M,NA,variable,homogeneous,3,absent,0.733258962631226,1,vertical,vertical,1,0.658823895454407,red,1,NaN,604.658667004661,763.910840470068,NaN,NaN,604.658667004661,763.910840470068,1039.62161830041,687.215136548046,755.719714694933,348.874022981887,0,0,0,0,0,0,4,0,0,NaN,NaN,NaN,vertical,horizontal,vertical,none,none,none
1c,10,100148,1,11,11,21,M,NA,variable,homogeneous,6,absent,0.769891977310181,1,horizontal,horizontal,1,0.894119477272034,green,3,NaN,1042.51941165526,521.200666434388,NaN,NaN,746.982518841471,849.42763818712,989.501930496736,770.628304621509,1042.51941165526,521.200666434388,853.017481158529,350.57236181288,610.498069503264,429.371695378491,557.480588344736,678.799333565612,0,0,4,0,0,0,vertical,horizontal,horizontal,horizontal,vertical,vertical
1c,10,100148,1,12,12,21,M,NA,variable,homogeneous,5,present,1.04978489875793,1,vertical,vertical,1,0.823530802726746,green,5,1,549.685068220846,648.656293821019,768.923317431687,853.099268668537,768.923317431687,853.099268668537,1031.10848569435,707.767656743878,973.909581815937,413.504806087112,676.373546837184,376.971974679454,549.685068220846,648.656293821019,0,0,0,0,0,0,4,NaN,vertical,vertical,vertical,vertical,vertical,none
