experiment,subject,uniqueID,block,trial,trial_cumulative,age,gender,color_cond_blocking,color_history,shape_type,set_size,distractor,rt,acc,target_orient,response_key,response_made,iti,target_color,target_item,distractor_item,target_X,target_Y,distractor_X,distractor_Y,item1_X,item1_Y,item2_X,item2_Y,item3_X,item3_Y,item4_X,item4_Y,item5_X,item5_Y,item6_X,item6_Y,item1_shape,item2_shape,item3_shape,item4_shape,item5_shape,item6_shape,item1_line,item2_line,item3_line,item4_line,item5_line,item6_line
1c,19,100159,1,1,1,21,M,NA,variable,homogeneous,5,absent,0.936216115951538,1,vertical,vertical,1,0.623530006408691,green,4,NaN,558.892763222174,516.980120613425,NaN,NaN,946.261991269517,808.883771293693,1043.85771277057,525.445215295702,804.450363641507,345.03883773512,558.892763222174,516.980120613425,646.537169096228,803.65205506206,0,0,0,0,0,4,0,NaN,vertical,horizontal,horizontal,vertical,vertical,none
1c,19,100159,1,2,2,21,M,NA,variable,homogeneous,6,present,0.797357082366943,1,horizontal,horizontal,1,0.941185092926025,green,2,6,1053.60308331891,626.654758133252,650.114760665419,806.299333565612,903.717843984329,832.954091698863,1053.60308331891,626.654758133252,949.885239334581,393.700666434388,696.282156015671,367.045908301137,546.39691668109,573.345241866748,650.114760665419,806.299333565612,0,4,0,0,0,0,vertical,horizontal,horizontal,horizontal,horizontal,horizontal
1c,19,100159,1,3,3,21,M,NA,variable,homogeneous,5,absent,0.610260963439941,1,horizontal,horizontal,1,1.03530511856079,green,4,NaN,565.271262369628,500.363562235235,NaN,NaN,931.334709102064,818.577661679039,1048.46436652023,542.637481142314,822.224714400653,345.970351986605,565.271262369628,500.363562235235,632.704947607421,792.450942956807,0,0,0,0,0,4,0,NaN,vertical,horizontal,vertical,horizontal,vertical,none
1c,19,100159,1,4,4,21,M,NA,variable,homogeneous,3,absent,0.768551111221313,1,vertical,vertical,1,0.894125080108643,green,2,NaN,953.462830903772,396.34794493794,NaN,NaN,899.636437764765,834.728737630372,953.462830903772,396.34794493794,546.900731331463,568.923317431687,0,0,0,0,0,0,0,4,0,NaN,NaN,NaN,horizontal,vertical,horizontal,none,none,none
1c,19,100159,1,5,5,21,M,NA,variable,homogeneous,5,present,0.903037071228027,1,horizontal,horizontal,1,0.752945041656494,red,4,3,777.775285599347,345.970351986605,1034.72873763037,500.363562235235,668.665290897936,818.577661679039,967.295052392579,792.450942956807,1034.72873763037,500.363562235235,777.775285599347,345.970351986605,551.535633479765,542.637481142314,0,0,0,0,0,4,0,NaN,horizontal,vertical,vertical,horizontal,horizontal,none
1c,19,100159,1,6,6,21,M,NA,variable,homogeneous,5,present,1.05600214004517,1,horizontal,horizontal,1,0.941185092926025,green,1,2,891.383827134052,838.063008756786,1054.65053136242,586.654331158049,891.383827134052,838.063008756786,1054.65053136242,586.654331158049,865.998856501143,353.688914296288,586.139005173917,461.117046071168,601.827779828472,760.476699717708,0,0,4,0,0,0,0,NaN,horizontal,vertical,horizontal,vertical,horizontal,none
1c,19,100159,1,7,7,21,M,NA,variable,homogeneous,6,present,0.667423963546753,1,vertical,vertical,1,0.705885028839111,green,5,6,607.549057043193,432.704947607421,558.892763222174,683.019879386575,751.343706178981,850.314931779154,992.450942956807,767.295052392579,1041.10723677783,516.980120613425,848.656293821019,349.685068220846,607.549057043193,432.704947607421,558.892763222174,683.019879386575,0,0,0,0,4,0,horizontal,horizontal,vertical,vertical,vertical,vertical
1c,19,100159,1,8,8,21,M,NA,variable,homogeneous,3,absent,0.650918960571289,1,vertical,vertical,1,0.705885028839111,red,1,NaN,813.345668841951,854.650531362416,NaN,NaN,813.345668841951,854.650531362416,1013.86099482608,461.117046071168,572.793336331966,484.232422566416,0,0,0,0,0,0,4,0,0,NaN,NaN,NaN,vertical,horizontal,vertical,none,none,none
1c,19,100159,1,9,9,21,M,NA,variable,homogeneous,6,present,0.809434175491333,1,vertical,vertical,1,0.670590019226074,green,4,3,704.475318678942,363.568117085469,956.993676208043,399.057257830286,895.524681321058,836.431882914531,1052.5183575291,635.489140744817,956.993676208043,399.057257830286,704.475318678942,363.568117085469,547.481642470899,564.510859255183,643.006323791957,800.942742169714,0,0,0,4,0,0,horizontal,horizontal,vertical,vertical,vertical,vertical
1c,19,100159,1,10,10,21,M,NA,variable,homogeneous,5,present,0.629270076751709,1,horizontal,horizontal,1,0.776475048065186,green,2,5,1032.95409169886,703.717843984329,550.57236181288,653.017481158529,773.345241866748,853.60308331891,1032.95409169886,703.717843984329,970.628304621509,410.498069503264,672.5,379.163522034968,550.57236181288,653.017481158529,0,0,0,4,0,0,0,NaN,horizontal,horizontal,vertical,vertical,vertical,none
