i,Coef.,Std.Err.,z,P>|z|,[0.025,0.975],beta_0,beta_1,n_absent,n_present,n_subj,rho,sigma,tau_0,tau_1
Intercept,542.466,9.85,55.075,0.0,523.161,561.771,650,30,150,150,2,0.35,175,80,15
category[T.present],-16.722,23.929,-0.699,0.485,-63.622,30.178,650,30,150,150,2,0.35,175,80,15
Group Var,0.06,1.348,,,,,650,30,150,150,2,0.35,175,80,15
Group x category[T.present] Cov,-0.587,7.899,,,,,650,30,150,150,2,0.35,175,80,15
category[T.present] Var,757.239,9.37,,,,,650,30,150,150,2,0.35,175,80,15
Intercept,614.655,85.852,7.159,0.0,446.388,782.923,650,30,150,150,2,0.35,175,80,15
category[T.present],33.402,83.229,0.401,0.688,-129.725,196.529,650,30,150,150,2,0.35,175,80,15
Group Var,14537.74,,,,,,650,30,150,150,2,0.35,175,80,15
Group x category[T.present] Cov,15.479,,,,,,650,30,150,150,2,0.35,175,80,15
category[T.present] Var,13447.325,,,,,,650,30,150,150,2,0.35,175,80,15
Intercept,655.896,58.541,11.204,0.0,541.158,770.634,650,30,150,150,2,0.35,175,80,15
category[T.present],35.943,15.383,2.337,0.019,5.793,66.092,650,30,150,150,2,0.35,175,80,15
Group Var,6663.403,514.73,,,,,650,30,150,150,2,0.35,175,80,15
Group x category[T.present] Cov,782.762,453.291,,,,,650,30,150,150,2,0.35,175,80,15
category[T.present] Var,91.955,113.595,,,,,650,30,150,150,2,0.35,175,80,15
Intercept,575.381,27.225,21.134,0.0,522.021,628.741,650,30,150,150,2,0.35,175,80,15
category[T.present],10.053,16.364,0.614,0.539,-22.019,42.125,650,30,150,150,2,0.35,175,80,15
Group Var,1291.398,8.731,,,,,650,30,150,150,2,0.35,175,80,15
Group x category[T.present] Cov,-393.975,6.659,,,,,650,30,150,150,2,0.35,175,80,15
category[T.present] Var,153.562,3.7,,,,,650,30,150,150,2,0.35,175,80,15
Intercept,625.259,9.884,63.26,0.0,605.886,644.631,650,30,150,150,2,0.35,175,80,15
category[T.present],24.78,17.818,1.391,0.164,-10.143,59.704,650,30,150,150,2,0.35,175,80,15
Group Var,0.117,1.637,,,,,650,30,150,150,2,0.35,175,80,15
Group x category[T.present] Cov,-1.466,6.624,,,,,650,30,150,150,2,0.35,175,80,15
category[T.present] Var,244.441,21.28,,,,,650,30,150,150,2,0.35,175,80,15
Intercept,586.912,43.031,13.639,0.0,502.574,671.251,650,30,150,150,2,0.35,175,80,15
category[T.present],7.17,30.324,0.236,0.813,-52.264,66.604,650,30,150,150,2,0.35,175,80,15
Group Var,3485.758,19.231,,,,,650,30,150,150,2,0.35,175,80,15
Group x category[T.present] Cov,-2207.726,14.153,,,,,650,30,150,150,2,0.35,175,80,15
category[T.present] Var,1404.009,11.789,,,,,650,30,150,150,2,0.35,175,80,15
Intercept,664.665,14.973,44.389,0.0,635.317,694.012,650,30,150,150,2,0.35,175,80,15
category[T.present],31.417,27.792,1.13,0.258,-23.055,85.889,650,30,150,150,2,0.35,175,80,15
Group Var,267.62,,,,,,650,30,150,150,2,0.35,175,80,15
Group x category[T.present] Cov,562.253,,,,,,650,30,150,150,2,0.35,175,80,15
category[T.present] Var,1183.25,,,,,,650,30,150,150,2,0.35,175,80,15
Intercept,629.819,41.678,15.111,0.0,548.131,711.507,650,30,150,150,2,0.35,175,80,15
category[T.present],16.553,28.072,0.59,0.555,-38.467,71.574,650,30,150,150,2,0.35,175,80,15
Group Var,3271.427,,,,,,650,30,150,150,2,0.35,175,80,15
Group x category[T.present] Cov,1956.898,,,,,,650,30,150,150,2,0.35,175,80,15
category[T.present] Var,1170.591,,,,,,650,30,150,150,2,0.35,175,80,15
Intercept,621.209,15.589,39.848,0.0,590.654,651.763,650,30,150,150,2,0.35,175,80,15
category[T.present],45.798,29.416,1.557,0.119,-11.856,103.452,650,30,150,150,2,0.35,175,80,15
Group Var,295.711,,,,,,650,30,150,150,2,0.35,175,80,15
Group x category[T.present] Cov,631.57,,,,,,650,30,150,150,2,0.35,175,80,15
category[T.present] Var,1349.891,,,,,,650,30,150,150,2,0.35,175,80,15
Intercept,573.101,74.626,7.68,0.0,426.838,719.365,650,30,150,150,2,0.35,175,80,15
category[T.present],40.654,155.652,0.261,0.794,-264.418,345.726,650,30,150,150,2,0.35,175,80,15
Group Var,10929.276,95.002,,,,,650,30,150,150,2,0.35,175,80,15
Group x category[T.present] Cov,1812.63,,,,,,650,30,150,150,2,0.35,175,80,15
category[T.present] Var,48037.603,,,,,,650,30,150,150,2,0.35,175,80,15
Intercept,579.854,142.583,4.067,0.0,300.397,859.312,650,30,150,150,2,0.35,175,80,15
category[T.present],20.7,84.567,0.245,0.807,-145.049,186.448,650,30,150,150,2,0.35,175,80,15
Group Var,40462.044,424.661,,,,,650,30,150,150,2,0.35,175,80,15
Group x category[T.present] Cov,-1207.356,,,,,,650,30,150,150,2,0.35,175,80,15
category[T.present] Var,13907.857,,,,,,650,30,150,150,2,0.35,175,80,15
Intercept,580.651,59.424,9.771,0.0,464.182,697.12,650,30,150,150,2,0.35,175,80,15
category[T.present],36.97,15.0,2.465,0.014,7.571,66.37,650,30,150,150,2,0.35,175,80,15
Group Var,6856.04,,,,,,650,30,150,150,2,0.35,175,80,15
Group x category[T.present] Cov,505.159,,,,,,650,30,150,150,2,0.35,175,80,15
category[T.present] Var,37.224,,,,,,650,30,150,150,2,0.35,175,80,15
Intercept,625.428,28.839,21.687,0.0,568.906,681.951,650,30,150,150,2,0.35,175,80,15
category[T.present],43.942,24.565,1.789,0.074,-4.205,92.089,650,30,150,150,2,0.35,175,80,15
Group Var,1451.705,184.866,,,,,650,30,150,150,2,0.35,175,80,15
Group x category[T.present] Cov,1066.603,77.817,,,,,650,30,150,150,2,0.35,175,80,15
category[T.present] Var,783.678,213.453,,,,,650,30,150,150,2,0.35,175,80,15
Intercept,664.649,37.966,17.507,0.0,590.238,739.06,650,30,150,150,2,0.35,175,80,15
category[T.present],67.269,19.496,3.45,0.001,29.057,105.481,650,30,150,150,2,0.35,175,80,15
Group Var,2660.004,13.993,,,,,650,30,150,150,2,0.35,175,80,15
Group x category[T.present] Cov,-734.801,6.944,,,,,650,30,150,150,2,0.35,175,80,15
category[T.present] Var,314.664,4.082,,,,,650,30,150,150,2,0.35,175,80,15
Intercept,677.175,67.032,10.102,0.0,545.795,808.555,650,30,150,150,2,0.35,175,80,15
category[T.present],26.588,149.032,0.178,0.858,-265.511,318.686,650,30,150,150,2,0.35,175,80,15
Group Var,8776.48,78.397,,,,,650,30,150,150,2,0.35,175,80,15
Group x category[T.present] Cov,-3968.602,174.669,,,,,650,30,150,150,2,0.35,175,80,15
category[T.present] Var,44001.194,,,,,,650,30,150,150,2,0.35,175,80,15
Intercept,634.218,79.66,7.962,0.0,478.088,790.348,650,30,150,150,2,0.35,175,80,15
category[T.present],36.826,147.508,0.25,0.803,-252.284,325.937,650,30,150,150,2,0.35,175,80,15
Group Var,12491.869,106.216,,,,,650,30,150,150,2,0.35,175,80,15
Group x category[T.present] Cov,4103.896,,,,,,650,30,150,150,2,0.35,175,80,15
category[T.present] Var,43118.417,,,,,,650,30,150,150,2,0.35,175,80,15
Intercept,611.707,26.347,23.218,0.0,560.069,663.346,650,30,150,150,2,0.35,175,80,15
category[T.present],37.413,16.125,2.32,0.02,5.808,69.017,650,30,150,150,2,0.35,175,80,15
Group Var,1161.428,15.439,,,,,650,30,150,150,2,0.35,175,80,15
Group x category[T.present] Cov,259.825,14.885,,,,,650,30,150,150,2,0.35,175,80,15
category[T.present] Var,66.331,3.784,,,,,650,30,150,150,2,0.35,175,80,15
Intercept,506.835,83.893,6.041,0.0,342.406,671.263,650,30,150,150,2,0.35,175,80,15
category[T.present],27.958,81.839,0.342,0.733,-132.444,188.359,650,30,150,150,2,0.35,175,80,15
Group Var,13879.075,,,,,,650,30,150,150,2,0.35,175,80,15
Group x category[T.present] Cov,-75.038,,,,,,650,30,150,150,2,0.35,175,80,15
category[T.present] Var,13000.928,,,,,,650,30,150,150,2,0.35,175,80,15
Intercept,650.002,91.164,7.13,0.0,471.324,828.679,650,30,150,150,2,0.35,175,80,15
category[T.present],41.115,77.718,0.529,0.597,-111.21,193.439,650,30,150,150,2,0.35,175,80,15
Group Var,16417.296,112.91,,,,,650,30,150,150,2,0.35,175,80,15
Group x category[T.present] Cov,2654.303,169.692,,,,,650,30,150,150,2,0.35,175,80,15
category[T.present] Var,11671.587,,,,,,650,30,150,150,2,0.35,175,80,15
Intercept,688.085,27.34,25.167,0.0,634.499,741.671,650,30,150,150,2,0.35,175,80,15
category[T.present],38.42,22.547,1.704,0.088,-5.771,82.611,650,30,150,150,2,0.35,175,80,15
Group Var,1312.395,10.467,,,,,650,30,150,150,2,0.35,175,80,15
Group x category[T.present] Cov,-922.364,10.665,,,,,650,30,150,150,2,0.35,175,80,15
category[T.present] Var,651.563,11.353,,,,,650,30,150,150,2,0.35,175,80,15
Intercept,628.017,17.541,35.803,0.0,593.638,662.396,650,30,150,150,2,0.35,175,80,15
category[T.present],21.497,16.167,1.33,0.184,-10.189,53.183,650,30,150,150,2,0.35,175,80,15
Group Var,428.413,6.842,,,,,650,30,150,150,2,0.35,175,80,15
Group x category[T.present] Cov,221.047,8.534,,,,,650,30,150,150,2,0.35,175,80,15
category[T.present] Var,148.82,3.642,,,,,650,30,150,150,2,0.35,175,80,15
Intercept,609.744,75.428,8.084,0.0,461.908,757.58,650,30,150,150,2,0.35,175,80,15
category[T.present],-8.153,14.708,-0.554,0.579,-36.98,20.675,650,30,150,150,2,0.35,175,80,15
Group Var,11183.193,1654.496,,,,,650,30,150,150,2,0.35,175,80,15
Group x category[T.present] Cov,681.512,1549.277,,,,,650,30,150,150,2,0.35,175,80,15
category[T.present] Var,41.532,195.111,,,,,650,30,150,150,2,0.35,175,80,15
Intercept,657.807,82.832,7.941,0.0,495.459,820.154,650,30,150,150,2,0.35,175,80,15
category[T.present],18.831,85.284,0.221,0.825,-148.322,185.983,650,30,150,150,2,0.35,175,80,15
Group Var,13515.092,,,,,,650,30,150,150,2,0.35,175,80,15
Group x category[T.present] Cov,627.67,,,,,,650,30,150,150,2,0.35,175,80,15
category[T.present] Var,14132.29,,,,,,650,30,150,150,2,0.35,175,80,15
Intercept,575.617,26.281,21.902,0.0,524.107,627.127,650,30,150,150,2,0.35,175,80,15
category[T.present],31.992,14.927,2.143,0.032,2.736,61.248,650,30,150,150,2,0.35,175,80,15
Group Var,1199.547,9.018,,,,,650,30,150,150,2,0.35,175,80,15
Group x category[T.present] Cov,-107.897,7.625,,,,,650,30,150,150,2,0.35,175,80,15
category[T.present] Var,81.952,,,,,,650,30,150,150,2,0.35,175,80,15
Intercept,579.697,50.337,11.516,0.0,481.039,678.355,650,30,150,150,2,0.35,175,80,15
category[T.present],58.3,28.635,2.036,0.042,2.177,114.423,650,30,150,150,2,0.35,175,80,15
Group Var,4868.89,,,,,,650,30,150,150,2,0.35,175,80,15
Group x category[T.present] Cov,2459.638,,,,,,650,30,150,150,2,0.35,175,80,15
category[T.present] Var,1242.563,,,,,,650,30,150,150,2,0.35,175,80,15
Intercept,569.464,27.384,20.796,0.0,515.793,623.135,650,30,150,150,2,0.35,175,80,15
category[T.present],11.711,27.447,0.427,0.67,-42.083,65.505,650,30,150,150,2,0.35,175,80,15
Group Var,1279.943,258.769,,,,,650,30,150,150,2,0.35,175,80,15
Group x category[T.present] Cov,1168.632,79.317,,,,,650,30,150,150,2,0.35,175,80,15
category[T.present] Var,1067.007,359.521,,,,,650,30,150,150,2,0.35,175,80,15
Intercept,572.176,27.604,20.728,0.0,518.074,626.279,650,30,150,150,2,0.35,175,80,15
category[T.present],32.589,23.278,1.4,0.162,-13.035,78.213,650,30,150,150,2,0.35,175,80,15
Group Var,1314.012,284.419,,,,,650,30,150,150,2,0.35,175,80,15
Group x category[T.present] Cov,933.969,124.112,,,,,650,30,150,150,2,0.35,175,80,15
category[T.present] Var,663.844,319.86,,,,,650,30,150,150,2,0.35,175,80,15
Intercept,601.608,51.325,11.721,0.0,501.012,702.204,650,30,150,150,2,0.35,175,80,15
category[T.present],3.362,17.708,0.19,0.849,-31.346,38.07,650,30,150,150,2,0.35,175,80,15
Group Var,5046.723,34.246,,,,,650,30,150,150,2,0.35,175,80,15
Group x category[T.present] Cov,892.746,18.656,,,,,650,30,150,150,2,0.35,175,80,15
category[T.present] Var,183.425,3.709,,,,,650,30,150,150,2,0.35,175,80,15
Intercept,660.808,48.674,13.576,0.0,565.41,756.207,650,30,150,150,2,0.35,175,80,15
category[T.present],53.5,15.623,3.424,0.001,22.879,84.122,650,30,150,150,2,0.35,175,80,15
Group Var,4558.006,,,,,,650,30,150,150,2,0.35,175,80,15
Group x category[T.present] Cov,762.535,,,,,,650,30,150,150,2,0.35,175,80,15
category[T.present] Var,127.725,,,,,,650,30,150,150,2,0.35,175,80,15
Intercept,602.69,47.233,12.76,0.0,510.115,695.266,650,30,150,150,2,0.35,175,80,15
category[T.present],23.755,18.715,1.269,0.204,-12.926,60.436,650,30,150,150,2,0.35,175,80,15
Group Var,4239.283,36.083,,,,,650,30,150,150,2,0.35,175,80,15
Group x category[T.present] Cov,1025.971,26.668,,,,,650,30,150,150,2,0.35,175,80,15
category[T.present] Var,255.158,11.501,,,,,650,30,150,150,2,0.35,175,80,15
Intercept,655.549,28.853,22.72,0.0,598.998,712.1,650,30,150,150,2,0.35,175,80,15
category[T.present],33.916,35.01,0.969,0.333,-34.703,102.534,650,30,150,150,2,0.35,175,80,15
Group Var,1470.931,,,,,,650,30,150,150,2,0.35,175,80,15
Group x category[T.present] Cov,-1741.668,,,,,,650,30,150,150,2,0.35,175,80,15
category[T.present] Var,2063.251,,,,,,650,30,150,150,2,0.35,175,80,15
Intercept,631.174,16.085,39.24,0.0,599.647,662.7,650,30,150,150,2,0.35,175,80,15
category[T.present],16.296,29.15,0.559,0.576,-40.837,73.429,650,30,150,150,2,0.35,175,80,15
Group Var,301.74,45.814,,,,,650,30,150,150,2,0.35,175,80,15
Group x category[T.present] Cov,618.437,18.079,,,,,650,30,150,150,2,0.35,175,80,15
category[T.present] Var,1267.996,123.613,,,,,650,30,150,150,2,0.35,175,80,15
Intercept,700.244,45.716,15.317,0.0,610.643,789.846,650,30,150,150,2,0.35,175,80,15
category[T.present],41.394,16.998,2.435,0.015,8.078,74.71,650,30,150,150,2,0.35,175,80,15
Group Var,3965.553,,,,,,650,30,150,150,2,0.35,175,80,15
Group x category[T.present] Cov,768.994,,,,,,650,30,150,150,2,0.35,175,80,15
category[T.present] Var,149.167,,,,,,650,30,150,150,2,0.35,175,80,15
Intercept,683.141,73.504,9.294,0.0,539.075,827.207,650,30,150,150,2,0.35,175,80,15
category[T.present],55.55,155.804,0.357,0.721,-249.82,360.92,650,30,150,150,2,0.35,175,80,15
Group Var,10597.607,91.057,,,,,650,30,150,150,2,0.35,175,80,15
Group x category[T.present] Cov,1452.355,,,,,,650,30,150,150,2,0.35,175,80,15
category[T.present] Var,48133.323,,,,,,650,30,150,150,2,0.35,175,80,15
Intercept,528.823,40.163,13.167,0.0,450.105,607.541,650,30,150,150,2,0.35,175,80,15
category[T.present],74.587,22.081,3.378,0.001,31.31,117.864,650,30,150,150,2,0.35,175,80,15
Group Var,3025.847,,,,,,650,30,150,150,2,0.35,175,80,15
Group x category[T.present] Cov,1318.516,,,,,,650,30,150,150,2,0.35,175,80,15
category[T.present] Var,574.551,,,,,,650,30,150,150,2,0.35,175,80,15
Intercept,631.409,24.846,25.413,0.0,582.712,680.107,650,30,150,150,2,0.35,175,80,15
category[T.present],8.617,17.131,0.503,0.615,-24.959,42.192,650,30,150,150,2,0.35,175,80,15
Group Var,1029.698,7.022,,,,,650,30,150,150,2,0.35,175,80,15
Group x category[T.present] Cov,263.449,6.374,,,,,650,30,150,150,2,0.35,175,80,15
category[T.present] Var,176.982,,,,,,650,30,150,150,2,0.35,175,80,15
Intercept,623.452,9.935,62.755,0.0,603.981,642.924,650,30,150,150,2,0.35,175,80,15
category[T.present],21.291,17.833,1.194,0.233,-13.66,56.242,650,30,150,150,2,0.35,175,80,15
Group Var,1.498,,,,,,650,30,150,150,2,0.35,175,80,15
Group x category[T.present] Cov,1.061,,,,,,650,30,150,150,2,0.35,175,80,15
category[T.present] Var,244.208,,,,,,650,30,150,150,2,0.35,175,80,15
Intercept,636.443,54.445,11.69,0.0,529.734,743.153,650,30,150,150,2,0.35,175,80,15
category[T.present],30.158,22.083,1.366,0.172,-13.123,73.439,650,30,150,150,2,0.35,175,80,15
Group Var,5729.09,47.887,,,,,650,30,150,150,2,0.35,175,80,15
Group x category[T.present] Cov,1721.584,33.595,,,,,650,30,150,150,2,0.35,175,80,15
category[T.present] Var,576.616,11.545,,,,,650,30,150,150,2,0.35,175,80,15
Intercept,760.651,74.468,10.214,0.0,614.696,906.606,650,30,150,150,2,0.35,175,80,15
category[T.present],43.477,15.005,2.897,0.004,14.067,72.887,650,30,150,150,2,0.35,175,80,15
Group Var,10871.438,839.94,,,,,650,30,150,150,2,0.35,175,80,15
Group x category[T.present] Cov,346.771,809.032,,,,,650,30,150,150,2,0.35,175,80,15
category[T.present] Var,11.062,52.363,,,,,650,30,150,150,2,0.35,175,80,15
Intercept,649.88,19.547,33.248,0.0,611.569,688.19,650,30,150,150,2,0.35,175,80,15
category[T.present],50.292,29.082,1.729,0.084,-6.707,107.291,650,30,150,150,2,0.35,175,80,15
Group Var,561.471,64.013,,,,,650,30,150,150,2,0.35,175,80,15
Group x category[T.present] Cov,849.697,8.392,,,,,650,30,150,150,2,0.35,175,80,15
category[T.present] Var,1286.162,133.766,,,,,650,30,150,150,2,0.35,175,80,15
Intercept,606.082,105.35,5.753,0.0,399.599,812.564,650,30,150,150,2,0.35,175,80,15
category[T.present],18.57,29.784,0.623,0.533,-39.806,76.946,650,30,150,150,2,0.35,175,80,15
Group Var,21984.035,,,,,,650,30,150,150,2,0.35,175,80,15
Group x category[T.present] Cov,-5442.786,,,,,,650,30,150,150,2,0.35,175,80,15
category[T.present] Var,1347.52,,,,,,650,30,150,150,2,0.35,175,80,15
Intercept,541.46,68.695,7.882,0.0,406.821,676.099,650,30,150,150,2,0.35,175,80,15
category[T.present],37.708,149.094,0.253,0.8,-254.511,329.926,650,30,150,150,2,0.35,175,80,15
Group Var,9246.617,52.229,,,,,650,30,150,150,2,0.35,175,80,15
Group x category[T.present] Cov,1561.845,,,,,,650,30,150,150,2,0.35,175,80,15
category[T.present] Var,44075.386,,,,,,650,30,150,150,2,0.35,175,80,15
Intercept,613.492,72.875,8.418,0.0,470.66,756.324,650,30,150,150,2,0.35,175,80,15
category[T.present],54.209,153.767,0.353,0.724,-247.168,355.586,650,30,150,150,2,0.35,175,80,15
Group Var,10419.876,102.778,,,,,650,30,150,150,2,0.35,175,80,15
Group x category[T.present] Cov,51.102,,,,,,650,30,150,150,2,0.35,175,80,15
category[T.present] Var,46885.087,,,,,,650,30,150,150,2,0.35,175,80,15
Intercept,554.05,106.07,5.223,0.0,346.157,761.944,650,30,150,150,2,0.35,175,80,15
category[T.present],15.954,86.796,0.184,0.854,-154.162,186.07,650,30,150,150,2,0.35,175,80,15
Group Var,22295.593,153.431,,,,,650,30,150,150,2,0.35,175,80,15
Group x category[T.present] Cov,-4084.014,198.889,,,,,650,30,150,150,2,0.35,175,80,15
category[T.present] Var,14654.829,,,,,,650,30,150,150,2,0.35,175,80,15
Intercept,613.85,24.623,24.93,0.0,565.589,662.111,650,30,150,150,2,0.35,175,80,15
category[T.present],40.152,17.866,2.247,0.025,5.135,75.168,650,30,150,150,2,0.35,175,80,15
Group Var,1010.978,6.917,,,,,650,30,150,150,2,0.35,175,80,15
Group x category[T.present] Cov,283.814,6.859,,,,,650,30,150,150,2,0.35,175,80,15
category[T.present] Var,235.1,,,,,,650,30,150,150,2,0.35,175,80,15
Intercept,556.504,83.314,6.68,0.0,393.212,719.796,650,30,150,150,2,0.35,175,80,15
category[T.present],6.055,30.217,0.2,0.841,-53.168,65.278,650,30,150,150,2,0.35,175,80,15
Group Var,13700.354,1313.984,,,,,650,30,150,150,2,0.35,175,80,15
Group x category[T.present] Cov,4475.544,927.389,,,,,650,30,150,150,2,0.35,175,80,15
category[T.present] Var,1462.043,745.393,,,,,650,30,150,150,2,0.35,175,80,15
Intercept,640.757,84.133,7.616,0.0,475.859,805.655,650,30,150,150,2,0.35,175,80,15
category[T.present],34.378,136.83,0.251,0.802,-233.804,302.56,650,30,150,150,2,0.35,175,80,15
Group Var,13964.931,85.457,,,,,650,30,150,150,2,0.35,175,80,15
Group x category[T.present] Cov,-5380.178,,,,,,650,30,150,150,2,0.35,175,80,15
category[T.present] Var,37061.259,,,,,,650,30,150,150,2,0.35,175,80,15
Intercept,583.652,10.415,56.038,0.0,563.238,604.066,650,30,150,150,2,0.35,175,80,15
category[T.present],-12.879,14.73,-0.874,0.382,-41.75,15.991,650,30,150,150,2,0.35,175,80,15
Group Var,0.02,,,,,,650,30,150,150,2,0.35,175,80,15
Group x category[T.present] Cov,-0.03,,,,,,650,30,150,150,2,0.35,175,80,15
category[T.present] Var,0.078,,,,,,650,30,150,150,2,0.35,175,80,15
Intercept,592.637,81.905,7.236,0.0,432.106,753.168,650,30,150,150,2,0.35,175,80,15
category[T.present],37.814,125.842,0.3,0.764,-208.831,284.46,650,30,150,150,2,0.35,175,80,15
Group Var,13224.414,292.204,,,,,650,30,150,150,2,0.35,175,80,15
Group x category[T.present] Cov,8441.1,171.593,,,,,650,30,150,150,2,0.35,175,80,15
category[T.present] Var,31287.361,377.23,,,,,650,30,150,150,2,0.35,175,80,15
Intercept,598.931,43.376,13.808,0.0,513.916,683.946,650,30,150,150,2,0.35,175,80,15
category[T.present],23.13,15.528,1.49,0.136,-7.304,53.564,650,30,150,150,2,0.35,175,80,15
Group Var,3553.266,19.253,,,,,650,30,150,150,2,0.35,175,80,15
Group x category[T.present] Cov,-258.144,8.751,,,,,650,30,150,150,2,0.35,175,80,15
category[T.present] Var,62.974,,,,,,650,30,150,150,2,0.35,175,80,15
Intercept,745.096,42.345,17.596,0.0,662.1,828.091,650,30,150,150,2,0.35,175,80,15
category[T.present],24.764,19.456,1.273,0.203,-13.369,62.896,650,30,150,150,2,0.35,175,80,15
Group Var,3399.703,765.657,,,,,650,30,150,150,2,0.35,175,80,15
Group x category[T.present] Cov,1142.422,533.893,,,,,650,30,150,150,2,0.35,175,80,15
category[T.present] Var,383.898,446.059,,,,,650,30,150,150,2,0.35,175,80,15
Intercept,612.174,30.277,20.219,0.0,552.831,671.516,650,30,150,150,2,0.35,175,80,15
category[T.present],41.476,42.5,0.976,0.329,-41.822,124.774,650,30,150,150,2,0.35,175,80,15
Group Var,1644.063,,,,,,650,30,150,150,2,0.35,175,80,15
Group x category[T.present] Cov,2305.735,19.591,,,,,650,30,150,150,2,0.35,175,80,15
category[T.present] Var,3233.704,,,,,,650,30,150,150,2,0.35,175,80,15
Intercept,767.415,93.755,8.185,0.0,583.658,951.172,650,30,150,150,2,0.35,175,80,15
category[T.present],47.768,88.941,0.537,0.591,-126.554,222.09,650,30,150,150,2,0.35,175,80,15
Group Var,17375.907,124.139,,,,,650,30,150,150,2,0.35,175,80,15
Group x category[T.present] Cov,540.839,240.797,,,,,650,30,150,150,2,0.35,175,80,15
category[T.present] Var,15412.709,,,,,,650,30,150,150,2,0.35,175,80,15
Intercept,626.799,84.616,7.408,0.0,460.954,792.644,650,30,150,150,2,0.35,175,80,15
category[T.present],18.918,84.252,0.225,0.822,-146.212,184.049,650,30,150,150,2,0.35,175,80,15
Group Var,14109.62,,,,,,650,30,150,150,2,0.35,175,80,15
Group x category[T.present] Cov,771.234,,,,,,650,30,150,150,2,0.35,175,80,15
category[T.present] Var,13776.299,,,,,,650,30,150,150,2,0.35,175,80,15
Intercept,577.647,51.127,11.298,0.0,477.441,677.853,650,30,150,150,2,0.35,175,80,15
category[T.present],45.569,18.51,2.462,0.014,9.29,81.848,650,30,150,150,2,0.35,175,80,15
Group Var,5035.78,1413.743,,,,,650,30,150,150,2,0.35,175,80,15
Group x category[T.present] Cov,1231.378,1101.329,,,,,650,30,150,150,2,0.35,175,80,15
category[T.present] Var,301.104,623.094,,,,,650,30,150,150,2,0.35,175,80,15
Intercept,660.993,84.285,7.842,0.0,495.798,826.189,650,30,150,150,2,0.35,175,80,15
category[T.present],62.747,86.265,0.727,0.467,-106.33,231.824,650,30,150,150,2,0.35,175,80,15
Group Var,14001.667,,,,,,650,30,150,150,2,0.35,175,80,15
Group x category[T.present] Cov,307.127,,,,,,650,30,150,150,2,0.35,175,80,15
category[T.present] Var,14470.873,,,,,,650,30,150,150,2,0.35,175,80,15
Intercept,520.488,14.579,35.702,0.0,491.914,549.062,650,30,150,150,2,0.35,175,80,15
category[T.present],38.542,23.145,1.665,0.096,-6.821,83.906,650,30,150,150,2,0.35,175,80,15
Group Var,216.041,243.741,,,,,650,30,150,150,2,0.35,175,80,15
Group x category[T.present] Cov,375.683,45.626,,,,,650,30,150,150,2,0.35,175,80,15
category[T.present] Var,653.292,578.628,,,,,650,30,150,150,2,0.35,175,80,15
Intercept,672.795,12.585,53.462,0.0,648.13,697.461,650,30,150,150,2,0.35,175,80,15
category[T.present],44.403,16.547,2.683,0.007,11.972,76.834,650,30,150,150,2,0.35,175,80,15
Group Var,120.969,1.314,,,,,650,30,150,150,2,0.35,175,80,15
Group x category[T.present] Cov,62.733,0.921,,,,,650,30,150,150,2,0.35,175,80,15
category[T.present] Var,156.044,,,,,,650,30,150,150,2,0.35,175,80,15
Intercept,538.512,24.648,21.848,0.0,490.202,586.822,650,30,150,150,2,0.35,175,80,15
category[T.present],-6.867,28.485,-0.241,0.809,-62.697,48.963,650,30,150,150,2,0.35,175,80,15
Group Var,1000.368,6.996,,,,,650,30,150,150,2,0.35,175,80,15
Group x category[T.present] Cov,-925.391,9.594,,,,,650,30,150,150,2,0.35,175,80,15
category[T.present] Var,1193.357,9.509,,,,,650,30,150,150,2,0.35,175,80,15
Intercept,540.781,32.448,16.666,0.0,477.184,604.379,650,30,150,150,2,0.35,175,80,15
category[T.present],57.564,20.449,2.815,0.005,17.485,97.644,650,30,150,150,2,0.35,175,80,15
Group Var,1918.166,554.499,,,,,650,30,150,150,2,0.35,175,80,15
Group x category[T.present] Cov,940.428,326.729,,,,,650,30,150,150,2,0.35,175,80,15
category[T.present] Var,461.068,453.665,,,,,650,30,150,150,2,0.35,175,80,15
Intercept,615.217,11.842,51.951,0.0,592.006,638.427,650,30,150,150,2,0.35,175,80,15
category[T.present],36.781,15.197,2.42,0.016,6.996,66.566,650,30,150,150,2,0.35,175,80,15
Group Var,73.076,2.613,,,,,650,30,150,150,2,0.35,175,80,15
Group x category[T.present] Cov,-57.408,6.913,,,,,650,30,150,150,2,0.35,175,80,15
category[T.present] Var,47.085,9.912,,,,,650,30,150,150,2,0.35,175,80,15
Intercept,609.74,20.225,30.148,0.0,570.1,649.38,650,30,150,150,2,0.35,175,80,15
category[T.present],5.122,21.303,0.24,0.81,-36.632,46.875,650,30,150,150,2,0.35,175,80,15
Group Var,612.123,81.857,,,,,650,30,150,150,2,0.35,175,80,15
Group x category[T.present] Cov,550.824,25.426,,,,,650,30,150,150,2,0.35,175,80,15
category[T.present] Var,495.733,111.81,,,,,650,30,150,150,2,0.35,175,80,15
Intercept,579.957,73.11,7.933,0.0,436.664,723.251,650,30,150,150,2,0.35,175,80,15
category[T.present],36.433,144.949,0.251,0.802,-247.661,320.528,650,30,150,150,2,0.35,175,80,15
Group Var,10504.158,99.935,,,,,650,30,150,150,2,0.35,175,80,15
Group x category[T.present] Cov,-2116.339,,,,,,650,30,150,150,2,0.35,175,80,15
